year,make,model,trim
1996,Acura,Integra,Integra
1996,Acura,NSX,NSX
1996,Acura,RL,3.5RL
1996,Acura,SLX,SLX
1996,Acura,TL,2.5TL/3.2TL
1996,Audi,A4,A4
1996,Audi,A4,A4 quattro
1996,Audi,A6,A6
1996,Audi,A6,A6 quattro
1996,Audi,A6,A6 quattro Wagon
1996,Audi,A6,A6 Wagon
1996,Audi,Cabriolet,Cabriolet
1996,BMW,3 Series,318i Convertible
1996,BMW,3 Series,318i/318is
1996,BMW,3 Series,318ti
1996,BMW,3 Series,328i Convertible
1996,BMW,3 Series,328i/328is
1996,BMW,7 Series,740il
1996,BMW,7 Series,750il
1996,BMW,8 Series,840ci
1996,BMW,8 Series,850ci
1996,BMW,M,M3
1996,BMW,Z3,Z3 Roadster
1996,Buick,Century,Century
1996,Buick,Century Wagon,Century Wagon
1996,Buick,Funeral Coach/Hearse,Funeral Coach/Hearse
1996,Buick,LeSabre,LeSabre
1996,Buick,Park Avenue,Park Avenue
1996,Buick,Regal,Regal
1996,Buick,Riviera,Riviera
1996,Buick,Roadmaster,Roadmaster
1996,Buick,Roadmaster,Roadmaster Wagon
1996,Buick,Skylark,Skylark
1996,Cadillac,DeVille,DeVille
1996,Cadillac,Eldorado,Eldorado
1996,Cadillac,Fleetwood,Fleetwood
1996,Cadillac,Seville,Seville
1996,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1996,Chevrolet,Astro Cargo,Astro AWD (cargo)
1996,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1996,Chevrolet,Astro Passenger,Astro AWD (passenger)
1996,Chevrolet,Beretta,Beretta
1996,Chevrolet,Blazer,Blazer 2WD
1996,Chevrolet,Blazer,Blazer 4WD
1996,Chevrolet,Blazer,Blazer AWD
1996,Chevrolet,C1500 Pickup,C1500 Pickup 2WD
1996,Chevrolet,Camaro,Camaro
1996,Chevrolet,Cavalier,Cavalier
1996,Chevrolet,Corsica,Corsica
1996,Chevrolet,Corvette,Corvette
1996,Chevrolet,Express Passenger,Express 1500/2500 2WD
1996,Chevrolet,Impala/Caprice,Caprice/Impala
1996,Chevrolet,Impala/Caprice,Caprice/Impala Wagon
1996,Chevrolet,K1500 Pickup,K1500 Pickup 4WD
1996,Chevrolet,Lumina Minivan,Lumina Minivan 2WD
1996,Chevrolet,Lumina/Monte Carlo,Lumina/Monte Carlo
1996,Chevrolet,Pickup 2500,Pickup 2500 2WD
1996,Chevrolet,S10 Pickup,S10 Pickup 2WD
1996,Chevrolet,S10 Pickup,S10 Pickup 4WD
1996,Chevrolet,Suburban,Suburban 1500 2WD
1996,Chevrolet,Suburban,Suburban 1500 4WD
1996,Chevrolet,Tahoe,Tahoe 1500 2WD
1996,Chevrolet,Tahoe,Tahoe 1500 4WD
1996,Chevrolet,Van 1500/2500,Van 1500/2500 2WD
1996,Chrysler,Cirrus,Cirrus
1996,Chrysler,Concorde,Concorde
1996,Chrysler,New Yorker/LHS,New Yorker/LHS
1996,Chrysler,Sebring,Sebring
1996,Chrysler,Sebring,Sebring Convertible
1996,Chrysler,Town and Country,Town and Country 2WD
1996,Chrysler,Town and Country,Town and Country 4WD
1996,Dodge,Avenger,Avenger
