year,make,model,trim
1988,Acura,Integra,Integra
1988,Acura,Legend,Legend
1988,Alfa Romeo,Milano,Milano
1988,Alfa Romeo,Spider,Spider
1988,Aston Martin,Lagonda,Lagonda
1988,Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante
1988,Audi,5000,5000 CS quattro
1988,Audi,5000,5000 CS quattro Wagon
1988,Audi,5000,5000 CS Turbo
1988,Audi,5000,5000 S
1988,Audi,5000,5000 S quattro
1988,Audi,5000,5000S Wagon
1988,Audi,80/90,80/90
1988,Audi,80/90,80/90 quattro
1988,Aurora Cars Ltd,Aurora,Aurora
1988,Bertone,X1/9,X1/9
1988,BMW,3 Series,3 Series
1988,BMW,5 Series,5 Series
1988,BMW,6 Series,6 Series
1988,BMW,7 Series,7 Series
1988,BMW,7 Series,750 Series
1988,Buick,Century,Century
1988,Buick,Century Wagon,Century Wagon
1988,Buick,Electra/Park Avenue,Electra/Park Avenue
1988,Buick,LeSabre,LeSabre
1988,Buick,LeSabre/Electra Wagon,LeSabre/Electra Wagon
1988,Buick,Reatta,Reatta
1988,Buick,Regal,Regal
1988,Buick,Riviera,Riviera
1988,Buick,Skyhawk,Skyhawk
1988,Buick,Skyhawk,Skyhawk Wagon
1988,Buick,Skylark,Skylark
1988,Cadillac,Allante,Allante
1988,Cadillac,Brougham,Brougham
1988,Cadillac,Cimarron,Cimarron
1988,Cadillac,Commercial Chassis,Commercial Chassis
1988,Cadillac,DeVille,DeVille
1988,Cadillac,Eldorado,Eldorado
1988,Cadillac,Fleetwood,Fleetwood
1988,Cadillac,Seville,Seville
1988,CCC Engineering,Duntov GT,Duntov GT
1988,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1988,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1988,Chevrolet,Beretta,Beretta
1988,Chevrolet,Blazer,S10 Blazer 2WD
1988,Chevrolet,Blazer,T10 (S10) Blazer 4WD
1988,Chevrolet,Blazer,V10 Blazer 4WD
1988,Chevrolet,C10 Pickup,C10 Pickup 2WD
1988,Chevrolet,C20 Pickup,C20 Pickup 2WD
1988,Chevrolet,Camaro,Camaro
1988,Chevrolet,Caprice,Caprice
1988,Chevrolet,Caprice,Caprice Wagon
1988,Chevrolet,Cavalier,Cavalier
1988,Chevrolet,Cavalier,Cavalier Convertible
1988,Chevrolet,Cavalier,Cavalier Wagon
1988,Chevrolet,Celebrity,Celebrity
1988,Chevrolet,Celebrity,Celebrity Wagon
1988,Chevrolet,Corsica,Corsica
1988,Chevrolet,Corvette,Corvette
1988,Chevrolet,Corvette,Corvette Convertible
1988,Chevrolet,G10/20 Van,G10/20 Sport Van 2WD
1988,Chevrolet,G10/20 Van,G10/20 Van 2WD
1988,Chevrolet,G30 Van,G30 Van 2WD
1988,Chevrolet,K10 Pickup,K10 Pickup 4WD
1988,Chevrolet,K20 Pickup,K20 Pickup 4WD
1988,Chevrolet,Monte Carlo,Monte Carlo
1988,Chevrolet,Nova,Nova
1988,Chevrolet,S10 Cab Chassis,S10 Cab Chassis 2WD
1988,Chevrolet,S10 Pickup,S10 Pickup 2WD
1988,Chevrolet,Spectrum,Spectrum
1988,Chevrolet,Spectrum,Spectrum Turbo
1988,Chevrolet,Sport Van,G30 Sport Van 2WD
1988,Chevrolet,Sprint,Sprint
1988,Chevrolet,Sprint,Sprint Metro
1988,Chevrolet,Sprint,Turbo Sprint
1988,Chevrolet,Suburban,R10 Suburban 2WD
1988,Chevrolet,Suburban,V10 Suburban 4WD
1988,Chevrolet,T10 (S10) Pickup,T10 (S10) Pickup 4WD
1988,Chrysler,Conquest,Conquest
1988,Chrysler,LeBaron,LeBaron
1988,Chrysler,LeBaron,LeBaron Convertible
1988,Chrysler,LeBaron,LeBaron GTS
1988,Chrysler,New Yorker,New Yorker Turbo
