year,make,model,trim
2019,Acura,ILX,ILX
2019,Acura,MDX,MDX AWD
2019,Acura,MDX,MDX AWD A-SPEC
2019,Acura,MDX,MDX FWD
2019,Acura,MDX,MDX Hybrid AWD
2019,Acura,NSX,NSX Hybrid
2019,Acura,RDX,RDX AWD
2019,Acura,RDX,RDX AWD A-SPEC
2019,Acura,RDX,RDX FWD
2019,Acura,RDX,RDX FWD A-SPEC
2019,Acura,RLX,RLX
2019,Acura,RLX,RLX Hybrid
2019,Acura,TLX,TLX AWD
2019,Acura,TLX,TLX AWD A-SPEC
2019,Acura,TLX,TLX FWD
2019,Acura,TLX,TLX FWD A-SPEC
2019,Alfa Romeo,4C,4C
2019,Alfa Romeo,Giulia,Giulia
2019,Alfa Romeo,Giulia,Giulia AWD
2019,Alfa Romeo,Stelvio,Stelvio
2019,Alfa Romeo,Stelvio,Stelvio AWD
2019,Aston Martin,DB11,DB11 V12
2019,Aston Martin,DB11,DB11 V8
2019,Aston Martin,DBS,DBS
2019,Aston Martin,Rapide,Rapide S
2019,Aston Martin,Vanquish,Vanquish S
2019,Aston Martin,Vantage,Vantage V8
2019,Audi,A3,A3
2019,Audi,A3,A3 Cabriolet
2019,Audi,A3,A3 Cabriolet quattro
2019,Audi,A3,A3 quattro
2019,Audi,A4,A4
2019,Audi,A4,A4 allroad quattro
2019,Audi,A4,A4 quattro
2019,Audi,A5,A5 Cabriolet quattro
2019,Audi,A5,A5 quattro
2019,Audi,A5,A5 Sportback quattro
2019,Audi,A6,A6 quattro
2019,Audi,A7,A7 quattro
2019,Audi,A8,A8 L
2019,Audi,e-tron,e-tron
2019,Audi,Q3,Q3 quattro
2019,Audi,Q5,Q5
2019,Audi,Q7,Q7
2019,Audi,Q8,Q8
2019,Audi,RS,RS 3
2019,Audi,RS,RS 5
2019,Audi,RS,RS 5 Sportback
2019,Audi,S3,S3
2019,Audi,S4,S4
2019,Audi,S5,S5
2019,Audi,S5,S5 Cabriolet
2019,Audi,S5,S5 Sportback
2019,Audi,SQ5,SQ5
2019,Audi,TT,TT Coupe quattro
2019,Audi,TT,TT Roadster quattro
2019,Audi,TT RS,TT RS
2019,Audi,TTS Coupe,TTS Coupe
2019,Bentley,Bentayga,Bentayga
2019,Bentley,Mulsanne,Mulsanne
2019,BMW,2 Series,230i Convertible
2019,BMW,2 Series,230i Coupe
2019,BMW,2 Series,230i xDrive Convertible
2019,BMW,2 Series,230i xDrive Coupe
2019,BMW,3 Series,330i
2019,BMW,3 Series,330i xDrive
2019,BMW,3 Series,330i xDrive Gran Turismo
2019,BMW,3 Series,330i xDrive Sports Wagon
2019,BMW,3 Series,340i xDrive Gran Turismo
2019,BMW,4 Series,430i Convertible
2019,BMW,4 Series,430i Coupe
2019,BMW,4 Series,430i Gran Coupe
2019,BMW,4 Series,430i xDrive Convertible
2019,BMW,4 Series,430i xDrive Coupe
2019,BMW,4 Series,430i xDrive Gran Coupe
2019,BMW,4 Series,440i Convertible
2019,BMW,4 Series,440i Coupe
2019,BMW,4 Series,440i Gran Coupe
2019,BMW,4 Series,440i xDrive Convertible
2019,BMW,4 Series,440i xDrive Coupe
2019,BMW,4 Series,440i xDrive Gran Coupe
2019,BMW,5 Series,530e
2019,BMW,5 Series,530e xDrive
2019,BMW,5 Series,530i
2019,BMW,5 Series,530i xDrive
2019,BMW,5 Series,540i
2019,BMW,5 Series,540i xDrive
2019,BMW,6 Series,640i Gran Coupe
2019,BMW,6 Series,640i xDrive Gran Coupe
2019,BMW,6 Series,640i xDrive Gran Turismo
2019,BMW,6 Series,650i Gran Coupe
2019,BMW,6 Series,650i xDrive Gran Coupe
2019,BMW,6 Series,Alpina B6 xDrive Gran Coupe
2019,BMW,7 Series,740e xDrive
2019,BMW,7 Series,740i
2019,BMW,7 Series,740i xDrive
2019,BMW,7 Series,750i
2019,BMW,7 Series,750i xDrive
2019,BMW,7 Series,Alpina B7 xDrive
2019,BMW,7 Series,M760i xDrive
2019,BMW,8 Series,M850i xDrive Convertible
2019,BMW,8 Series,M850i xDrive Coupe
2019,BMW,i3,i3
2019,BMW,i3,i3 with Range Extender
2019,BMW,i3,i3s
2019,BMW,i3,i3s with Range Extender
2019,BMW,i8,I8 Coupe
2019,BMW,i8,I8 Roadster
2019,BMW,M,M2 Competition
2019,BMW,M,M240i Convertible
2019,BMW,M,M240i Coupe
2019,BMW,M,M240i Coupe M Performance
2019,BMW,M,M240i xDrive Convertible
2019,BMW,M,M240i xDrive Coupe
2019,BMW,M,M240i xDrive Coupe M Performance
