year,make,model,trim
2021,Acura,ILX,ILX
2021,Acura,NSX,NSX Hybrid
2021,Acura,RDX,RDX AWD
2021,Acura,RDX,RDX AWD A-SPEC
2021,Acura,RDX,RDX FWD
2021,Acura,RDX,RDX FWD A-SPEC
2021,Acura,TLX,TLX AWD
2021,Acura,TLX,TLX AWD A-SPEC
2021,Acura,TLX,TLX FWD
2021,Acura,TLX,TLX FWD A-SPEC
2021,Acura,TLX,TLX Type-S
2021,Acura,TLX,TLX Type-S Perf Tire
2021,Alfa Romeo,Giulia,Giulia
2021,Alfa Romeo,Giulia,Giulia AWD
2021,Alfa Romeo,Stelvio,Stelvio
2021,Alfa Romeo,Stelvio,Stelvio AWD
2021,Aston Martin,DB11,DB11 V12
2021,Aston Martin,DB11,DB11 V8
2021,Aston Martin,DBS,DBS
2021,Aston Martin,DBX V8,DBX V8
2021,Aston Martin,Vantage,Vantage V8
2021,Aston Martin,Vantage Manual,Vantage Manual
2021,Audi,A4,A4 allroad quattro
2021,Audi,A4,A4 quattro
2021,Audi,A4,A4 S line quattro
2021,Audi,A5,A5 Cabriolet quattro
2021,Audi,A5,A5 quattro
2021,Audi,A5,A5 Sportback quattro
2021,Audi,A5,A5 Sportback S line quattro
2021,Audi,A6,A6 Allroad
2021,Audi,A6,A6 quattro
2021,Audi,A7,A7 quattro
2021,Audi,A8,A8 L
2021,Audi,e-tron,e-tron
2021,Audi,e-tron,e-tron Sportback
2021,Audi,Q3,Q3 quattro
2021,Audi,Q3,Q3 S-line quattro
2021,Audi,Q5,Q5
2021,Audi,Q5,Q5 Sportback
2021,Audi,Q7,Q7
2021,Audi,Q8,Q8
2021,Audi,R8,R8
2021,Audi,R8,R8 2WD
2021,Audi,R8,R8 Spyder
2021,Audi,R8,R8 Spyder 2WD
2021,Audi,RS,RS 5
2021,Audi,RS,RS 5 Sportback
2021,Audi,RS,RS 6 Avant
2021,Audi,RS,RS 7
2021,Audi,RS Q8,RS Q8
2021,Audi,S4,S4
2021,Audi,S5,S5
2021,Audi,S5,S5 Cabriolet
2021,Audi,S5,S5 Sportback
2021,Audi,S6,S6
2021,Audi,S7,S7
2021,Audi,S8,S8
2021,Audi,SQ5,SQ5
2021,Audi,SQ5,SQ5 Sportback
2021,Audi,SQ7,SQ7
2021,Audi,SQ8,SQ8
2021,Audi,TT,TT Coupe quattro
2021,Audi,TT,TT Roadster quattro
2021,Audi,TT,TT RS
2021,Audi,TTS,TTS Coupe
2021,Bentley,Bentayga,Bentayga
2021,Bentley,Continental,Continental GT
2021,Bentley,Continental,Continental GT Convertible
2021,Bentley,Flying Spur,Flying Spur
2021,BMW,2 Series,228i Gran Coupe
2021,BMW,2 Series,228i xDrive Gran Coupe
2021,BMW,2 Series,230i Convertible
2021,BMW,2 Series,230i Coupe
2021,BMW,2 Series,230i xDrive Convertible
2021,BMW,2 Series,230i xDrive Coupe
2021,BMW,3 Series,330e
2021,BMW,3 Series,330e xDrive
2021,BMW,3 Series,330i
2021,BMW,3 Series,330i xDrive
2021,BMW,4 Series,430i Convertible
2021,BMW,4 Series,430i Coupe
2021,BMW,4 Series,430i xDrive Coupe
2021,BMW,4 Series,M440i Convertible
2021,BMW,5 Series,530e
2021,BMW,5 Series,530e xDrive
2021,BMW,5 Series,530i
2021,BMW,5 Series,530i xDrive
2021,BMW,5 Series,540i
2021,BMW,5 Series,540i xDrive
2021,BMW,7 Series,740i
2021,BMW,7 Series,740i xDrive
2021,BMW,7 Series,745e xDrive
2021,BMW,7 Series,750i xDrive
2021,BMW,7 Series,Alpina B7
2021,BMW,8 Series,840i Convertible
2021,BMW,8 Series,840i Coupe
2021,BMW,8 Series,840i Gran Coupe
2021,BMW,8 Series,840i xDrive Convertible
2021,BMW,8 Series,840i xDrive Coupe
2021,BMW,8 Series,840i xDrive Gran Coupe
2021,BMW,8 Series,M850i xDrive Coupe
2021,BMW,i3,i3
2021,BMW,i3,i3 with Range Extender
2021,BMW,i3,i3s
2021,BMW,i3,i3s with Range Extender
2021,BMW,M,M2 Competition Coupe
2021,BMW,M,M235i xDrive Gran Coupe
2021,BMW,M,M240i Convertible
2021,BMW,M,M240i Coupe
2021,BMW,M,M240i xDrive Convertible
2021,BMW,M,M240i xDrive Coupe
2021,BMW,M,M3
2021,BMW,M,M3 Competition
2021,BMW,M,M340i
