year,make,model,trim
1985,Alfa Romeo,GT,GT V6 2.5
1985,Alfa Romeo,Spider,Spider Veloce 2000
1985,AM General,Post Office DJ5,Post Office DJ5 2WD
1985,AM General,Post Office DJ8,Post Office DJ8 2WD
1985,American Motors Corporation,Eagle,Eagle 4DR Wagon
1985,Aston Martin,Lagonda,Lagonda
1985,Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante
1985,Audi,4000,4000s
1985,Audi,4000,4000s quattro
1985,Audi,5000,5000S
1985,Audi,5000,5000S Wagon
1985,Audi,Coupe GT,Coupe GT
1985,Audi,Quattro,Quattro
1985,Bertone,X1/9,X1/9
1985,Bill Dovell Motor Car Company,Dovell 230CE,Dovell 230CE
1985,Bill Dovell Motor Car Company,Dovell 230E,Dovell 230E
1985,BMW,3 Series,3 Series
1985,BMW,5 Series,5 Series
1985,BMW,6 Series,6 Series
1985,BMW,7 Series,7 Series
1985,Buick,Century,Century
1985,Buick,Century Wagon,Century Wagon
1985,Buick,Electra/Park Avenue,Electra/Park Avenue
1985,Buick,LeSabre,LeSabre
1985,Buick,LeSabre/Electra Wagon,LeSabre/Electra Wagon
1985,Buick,Regal,Regal
1985,Buick,Riviera,Riviera
1985,Buick,Riviera,Riviera Convertible
1985,Buick,Skyhawk,Skyhawk
1985,Buick,Skyhawk,Skyhawk Wagon
1985,Buick,Skylark,Skylark
1985,Buick,Somerset Regal,Somerset Regal
1985,Cadillac,Cimarron,Cimarron
1985,Cadillac,Eldorado,Eldorado
1985,Cadillac,Eldorado,Eldorado Convertible
1985,Cadillac,Fleetwood Brougham,Fleetwood Brougham (RWD)
1985,Cadillac,Fleetwood/DeVille,Fleetwood/DeVille (FWD)
1985,Cadillac,Limousine,Limousine
1985,Cadillac,Seville,Seville
1985,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1985,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1985,Chevrolet,Blazer,K10 Blazer 4WD
1985,Chevrolet,Blazer,S10 Blazer 2WD
1985,Chevrolet,Blazer,T10 (S10) Blazer 4WD
1985,Chevrolet,C10 Pickup,C10 Pickup 2WD
1985,Chevrolet,C20 Pickup,C20 Pickup 2WD
1985,Chevrolet,Camaro,Camaro
1985,Chevrolet,Caprice,Caprice Wagon
