year,make,model,trim
2001,Acura,CL,3.2CL
2001,Acura,Integra,Integra
2001,Acura,MDX,MDX
2001,Acura,NSX,NSX
2001,Acura,RL,3.5RL
2001,Acura,TL,3.2TL
2001,Audi,A4,A4
2001,Audi,A4,A4 Avant quattro
2001,Audi,A4,A4 quattro
2001,Audi,A6,A6
2001,Audi,A6,A6 Avant quattro
2001,Audi,A6,A6 quattro
2001,Audi,A8,A8 L
2001,Audi,A8,A8 quattro
2001,Audi,Allroad,Allroad
2001,Audi,S4,S4
2001,Audi,S4,S4 Avant
2001,Audi,S8,S8 quattro
2001,Audi,TT Coupe,TT Coupe
2001,Audi,TT Coupe,TT Coupe quattro
2001,Audi,TT Roadster,TT Roadster
2001,Audi,TT Roadster,TT Roadster quattro
2001,Bentley,Arnage,Arnage
2001,Bentley,Azure,Azure
2001,Bentley,Continental,Continental R
2001,Bentley,Continental,Continental SC
2001,Bentley,Continental,Continental T
2001,BMW,3 Series,325ci
2001,BMW,3 Series,325ci Convertible
2001,BMW,3 Series,325i
2001,BMW,3 Series,325i Sport Wagon
2001,BMW,3 Series,325xi
2001,BMW,3 Series,325xi Sport Wagon
2001,BMW,3 Series,330ci
2001,BMW,3 Series,330ci Convertible
2001,BMW,3 Series,330i
2001,BMW,3 Series,330xi
2001,BMW,5 Series,525i
2001,BMW,5 Series,525i Sport Wagon
2001,BMW,5 Series,530i
2001,BMW,5 Series,540i
2001,BMW,5 Series,540i Sport Wagon
2001,BMW,7 Series,740i
2001,BMW,7 Series,740il
2001,BMW,7 Series,750il
2001,BMW,M,M Coupe
2001,BMW,M,M Roadster
2001,BMW,M,M3
2001,BMW,M,M3 Convertible
2001,BMW,M,M5
2001,BMW,X5,X5
2001,BMW,Z3,Z3 Coupe
2001,BMW,Z3,Z3 Roadster
2001,BMW,Z8,Z8
2001,Buick,Century,Century
2001,Buick,LeSabre,LeSabre
2001,Buick,Park Avenue,Park Avenue
2001,Buick,Regal,Regal
2001,Cadillac,Catera,Catera
2001,Cadillac,DeVille,DeVille
2001,Cadillac,Eldorado,Eldorado
2001,Cadillac,Seville,Seville
2001,Chevrolet,Astro Cargo,Astro 2WD (cargo)
2001,Chevrolet,Astro Cargo,Astro AWD (cargo)
2001,Chevrolet,Astro Passenger,Astro 2WD (passenger)
2001,Chevrolet,Astro Passenger,Astro AWD (passenger)
2001,Chevrolet,Blazer,Blazer 2WD
2001,Chevrolet,Blazer,Blazer 4WD
2001,Chevrolet,Camaro,Camaro
2001,Chevrolet,Cavalier,Cavalier
2001,Chevrolet,Cavalier,Cavalier (Bi-fuel CNG)
2001,Chevrolet,Corvette,Corvette
2001,Chevrolet,Express Passenger,Express 1500/2500 2WD
2001,Chevrolet,Impala,Impala
2001,Chevrolet,Impala,Impala Police
2001,Chevrolet,Lumina,Lumina
2001,Chevrolet,Malibu,Malibu
2001,Chevrolet,Metro,Metro
2001,Chevrolet,Monte Carlo,Monte Carlo
2001,Chevrolet,Prizm,Prizm
2001,Chevrolet,S10 Pickup,S10 Pickup 2WD
2001,Chevrolet,S10 Pickup,S10 Pickup 2WD FFV
2001,Chevrolet,S10 Pickup,S10 Pickup 4WD
