year,make,model,trim
2000,Acura,Integra,Integra
2000,Acura,NSX,NSX
2000,Acura,RL,3.5RL
2000,Acura,TL,3.2TL
2000,Aston Martin,DB-7 Vantage,DB-7 Vantage Coupe
2000,Aston Martin,DB-7 Vantage,DB-7 Vantage Volante
2000,Audi,A4,A4
2000,Audi,A4,A4 Avant
2000,Audi,A4,A4 Avant quattro
2000,Audi,A4,A4 quattro
2000,Audi,A6,A6
2000,Audi,A6,A6 Avant quattro
2000,Audi,A6,A6 quattro
2000,Audi,A8,A8 L
2000,Audi,A8,A8 quattro
2000,Audi,S4,S4
2000,Audi,TT Coupe,TT Coupe
2000,Audi,TT Coupe,TT Coupe quattro
2000,Bentley,Arnage,Arnage
2000,Bentley,Azure,Azure
2000,Bentley,Continental,Continental R
2000,Bentley,Continental,Continental SC
2000,Bentley,Continental,Continental T
2000,BMW,3 Series,323ci
2000,BMW,3 Series,323i
2000,BMW,3 Series,323i Convertible
2000,BMW,3 Series,323i Touring
2000,BMW,3 Series,328ci
2000,BMW,3 Series,328i
2000,BMW,5 Series,528i
2000,BMW,5 Series,528i Sport Wagon
2000,BMW,5 Series,540i
2000,BMW,5 Series,540i Sport Wagon
2000,BMW,7 Series,740i/740i Sport
2000,BMW,7 Series,740il/740il Protection
2000,BMW,7 Series,750il/750il Protection
2000,BMW,M,M Coupe
2000,BMW,M,M Roadster
2000,BMW,M,M5
2000,BMW,X5,X5
2000,BMW,Z3,Z3 Coupe
2000,BMW,Z3,Z3 Roadster
2000,BMW,Z8,Z8
2000,Buick,Century,Century
2000,Buick,LeSabre,LeSabre
2000,Buick,Park Avenue,Park Avenue
2000,Buick,Regal,Regal
2000,Cadillac,Catera,Catera
2000,Cadillac,DeVille,DeVille
2000,Cadillac,Eldorado,Eldorado
2000,Cadillac,Escalade,Escalade 4WD
2000,Cadillac,Seville,Seville
2000,Chevrolet,Astro Cargo,Astro 2WD (cargo)
2000,Chevrolet,Astro Cargo,Astro AWD (cargo)
2000,Chevrolet,Astro Passenger,Astro 2WD (passenger)
2000,Chevrolet,Astro Passenger,Astro AWD (passenger)
2000,Chevrolet,Blazer,Blazer 2WD
2000,Chevrolet,Blazer,Blazer 4WD
2000,Chevrolet,Camaro,Camaro
2000,Chevrolet,Cavalier,Cavalier
2000,Chevrolet,Cavalier,Cavalier (Bi-fuel CNG)
2000,Chevrolet,Corvette,Corvette
2000,Chevrolet,Express Passenger,Express 1500/2500 2WD
2000,Chevrolet,Impala,Impala
2000,Chevrolet,Lumina/Monte Carlo,Lumina/Monte Carlo
2000,Chevrolet,Malibu,Malibu
2000,Chevrolet,Metro,Metro
2000,Chevrolet,Prizm,Prizm
2000,Chevrolet,S10 Pickup,S10 Pickup 2WD
2000,Chevrolet,S10 Pickup,S10 Pickup 4WD
2000,Chevrolet,Silverado,Silverado 1500 2WD
2000,Chevrolet,Silverado,Silverado 1500 4WD
2000,Chevrolet,Silverado,Silverado 2500 2WD
2000,Chevrolet,Suburban,Suburban 1500 2WD
2000,Chevrolet,Suburban,Suburban 1500 4WD
2000,Chevrolet,Tahoe,Tahoe 1500 2WD
2000,Chevrolet,Tahoe,Tahoe 1500 4WD
2000,Chevrolet,Tracker,Tracker 2WD Convertible
