year,make,model,trim
2024,Acura,Integra,Integra
2024,Acura,Integra,Integra A-Spec
2024,Acura,MDX,MDX AWD
2024,Acura,MDX,MDX AWD Type-S
2024,Acura,MDX,MDX FWD
2024,Acura,RDX,RDX AWD
2024,Acura,RDX,RDX AWD A-SPEC
2024,Acura,TLX,TLX AWD A-SPEC
2024,Acura,TLX,TLX FWD
2024,Acura,TLX,TLX Type-S
2024,Acura,ZDX,ZDX AWD
2024,Acura,ZDX,ZDX AWD Type S
2024,Acura,ZDX,ZDX RWD
2024,Alfa Romeo,Giulia,Giulia
2024,Alfa Romeo,Giulia,Giulia AWD
2024,Alfa Romeo,Stelvio,Stelvio
2024,Alfa Romeo,Stelvio,Stelvio AWD
2024,Alfa Romeo,Tonale eAWD,Tonale eAWD
2024,Aston Martin,DB12 V8,DB12 V8
2024,Aston Martin,DBX 707,DBX 707
2024,Aston Martin,DBX V8,DBX V8
2024,Aston Martin,Valour,Valour
2024,Audi,A3,A3
2024,Audi,A3,A3 quattro
2024,Audi,A4,A4 allroad quattro
2024,Audi,A4,A4 quattro
2024,Audi,A4,A4 S line quattro
2024,Audi,A5,A5 Cabriolet quattro
2024,Audi,A5,A5 Coupe quattro
2024,Audi,A5,A5 Sportback quattro
2024,Audi,A5,A5 Sportback S line quattro
2024,Audi,A6,A6 Allroad quattro
2024,Audi,A6,A6 quattro
2024,Audi,A7,A7 quattro
2024,Audi,A8,A8 quattro
2024,Audi,e-tron GT,e-tron GT
2024,Audi,Q3,Q3 quattro
2024,Audi,Q3,Q3 S line quattro
2024,Audi,Q4 e-tron,Q4 40 e-tron
2024,Audi,Q4 e-tron,Q4 50 e-tron quattro
2024,Audi,Q4 e-tron,Q4 55 e-tron quattro
2024,Audi,Q4 e-tron,Q4 Sportback 50 e-tron quattro
2024,Audi,Q4 e-tron,Q4 Sportback 55 e-tron quattro
2024,Audi,Q5,Q5 quattro
2024,Audi,Q5,Q5 S line quattro
2024,Audi,Q5,Q5 Sportback S line quattro
2024,Audi,Q7,Q7 quattro
2024,Audi,Q8,Q8 quattro
2024,Audi,Q8 e-tron,Q8 e-tron quattro
2024,Audi,Q8 e-tron,Q8 Sportback e-tron quattro
2024,Audi,Q8 e-tron,Q8 Sportback e-tron ultra quattro
2024,Audi,RS,RS 3
2024,Audi,RS,RS 5 Coupe
2024,Audi,RS,RS 5 Sportback
2024,Audi,RS,RS 6 Avant
2024,Audi,RS,RS 7
2024,Audi,RS e-tron GT,RS e-tron GT
2024,Audi,RS Q8,RS Q8
2024,Audi,S3,S3
2024,Audi,S4,S4
2024,Audi,S5,S5 Cabriolet
2024,Audi,S5,S5 Coupe
2024,Audi,S5,S5 Sportback
2024,Audi,S6,S6
2024,Audi,S7,S7
2024,Audi,S8,S8
2024,Audi,SQ5,SQ5
2024,Audi,SQ5,SQ5 Sportback
2024,Audi,SQ7,SQ7
2024,Audi,SQ8,SQ8
2024,Audi,SQ8 e-tron,SQ8 e-tron (20 inch wheels)
2024,Audi,SQ8 e-tron,SQ8 e-tron (21/22 inch wheels)
2024,Audi,SQ8 e-tron,SQ8 Sportback e-tron (20 inch wheels)
2024,Audi,SQ8 e-tron,SQ8 Sportback e-tron (21/22 inch wheels)
2024,Bentley,Bentayga,Bentayga
2024,Bentley,Bentayga,Bentayga EWB
2024,Bentley,Continental,Continental GT
2024,Bentley,Continental,Continental GTC
2024,Bentley,Flying Spur,Flying Spur
2024,Bentley,Flying Spur,Flying Spur Hybrid
2024,BMW,2 Series,228i Gran Coupe
2024,BMW,2 Series,228i xDrive Gran Coupe
2024,BMW,2 Series,230i Coupe
2024,BMW,2 Series,230i xDrive Coupe
2024,BMW,2 Series,M235i xDrive Gran Coupe
2024,BMW,2 Series,M240i Coupe
2024,BMW,2 Series,M240i xDrive Coupe
2024,BMW,3 Series,330e Sedan
2024,BMW,3 Series,330e xDrive Sedan
2024,BMW,3 Series,330i Sedan
2024,BMW,3 Series,330i xDrive Sedan
2024,BMW,3 Series,M340i Sedan
2024,BMW,3 Series,M340i xDrive Sedan
2024,BMW,4 Series,430i Convertible
2024,BMW,4 Series,430i Coupe
2024,BMW,4 Series,430i Gran Coupe
2024,BMW,4 Series,430i xDrive Convertible
2024,BMW,4 Series,430i xDrive Coupe
2024,BMW,4 Series,430i xDrive Gran Coupe
2024,BMW,4 Series,M440i Convertible
2024,BMW,4 Series,M440i Coupe
2024,BMW,4 Series,M440i Gran Coupe
2024,BMW,4 Series,M440i xDrive Convertible
2024,BMW,4 Series,M440i xDrive Coupe
2024,BMW,4 Series,M440i xDrive Gran Coupe
2024,BMW,5 Series,530i Sedan
2024,BMW,5 Series,530i xDrive Sedan
2024,BMW,5 Series,540i xDrive Sedan
2024,BMW,7 Series,740i Sedan
2024,BMW,7 Series,740i xDrive Sedan
2024,BMW,7 Series,760i xDrive Sedan
2024,BMW,8 Series,840i Convertible
2024,BMW,8 Series,840i Coupe
2024,BMW,8 Series,840i Gran Coupe
2024,BMW,8 Series,840i xDrive Convertible
2024,BMW,8 Series,840i xDrive Coupe
2024,BMW,8 Series,840i xDrive Gran Coupe
2024,BMW,8 Series,Alpina B8 Gran Coupe
2024,BMW,8 Series,M850i xDrive Convertible
2024,BMW,8 Series,M850i xDrive Coupe
2024,BMW,8 Series,M850i xDrive Gran Coupe
2024,BMW,i4,i4 eDrive35 Gran Coupe (18 inch Wheels)
2024,BMW,i4,i4 eDrive35 Gran Coupe (19 inch Wheels)
2024,BMW,i4,i4 eDrive40 Gran Coupe (18 inch Wheels)
2024,BMW,i4,i4 eDrive40 Gran Coupe (19 inch Wheels)
2024,BMW,i4,i4 M50 Gran Coupe (19 inch wheels)
2024,BMW,i4,i4 M50 Gran Coupe (20 inch wheels)
2024,BMW,i4,i4 xDrive40 Gran Coupe (18 inch Wheels)
2024,BMW,i4,i4 xDrive40 Gran Coupe (19 inch Wheels)
2024,BMW,i5,i5 eDrive40 Sedan (19 inch Wheels)
2024,BMW,i5,i5 eDrive40 Sedan (20 inch Wheels)
2024,BMW,i5,i5 eDrive40 Sedan (21 inch Wheels)
2024,BMW,i5,i5 M60 xDrive Sedan (19 inch Wheels)
2024,BMW,i5,i5 M60 xDrive Sedan (20 inch Wheels)
2024,BMW,i5,i5 M60 xDrive Sedan (21 inch Wheels)
2024,BMW,i7,i7 eDrive50 Sedan (19 inch Wheels)
2024,BMW,i7,i7 eDrive50 Sedan (20 inch Wheels)
2024,BMW,i7,i7 eDrive50 Sedan (21 inch Wheels)
2024,BMW,i7,i7 M70 xDrive Sedan (20 inch Wheels)
2024,BMW,i7,i7 M70 xDrive Sedan (21 inch Wheels)
2024,BMW,i7,i7 xDrive60 Sedan (19 inch wheels)
2024,BMW,i7,i7 xDrive60 Sedan (20 inch wheels)
2024,BMW,i7,i7 xDrive60 Sedan (21 inch wheels)
2024,BMW,iX,iX M60 (21 inch Wheels)
2024,BMW,iX,iX M60 (22 inch Wheels)
2024,BMW,iX,iX xDrive40 (20 inch Wheels)
2024,BMW,iX,iX xDrive40 (21 inch Wheels)
2024,BMW,iX,iX xDrive40 (22 inch Wheels)
2024,BMW,iX,iX xDrive50 (20 inch wheels)
2024,BMW,iX,iX xDrive50 (21 inch wheels)
2024,BMW,iX,iX xDrive50 (22 inch wheels)
2024,BMW,M,M2 Coupe
2024,BMW,M,M3 Competition M xDrive Sedan
2024,BMW,M,M3 Competition Sedan
2024,BMW,M,M3 CS Sedan
2024,BMW,M,M3 Sedan
2024,BMW,M,M4 Competition Coupe
2024,BMW,M,M4 Competition M xDrive Convertible
2024,BMW,M,M4 Competition M xDrive Coupe
2024,BMW,M,M4 Coupe
2024,BMW,M,M8 Competition Convertible
2024,BMW,M,M8 Competition Coupe
2024,BMW,M,M8 Competition Gran Coupe
2024,BMW,X1,X1 M35i
2024,BMW,X1,X1 xDrive28i
2024,BMW,X2,X2 M35i
2024,BMW,X2,X2 xDrive28i
2024,BMW,X3,X3 M
2024,BMW,X3,X3 M Competition
2024,BMW,X3,X3 M40i
2024,BMW,X3,X3 sDrive30i
2024,BMW,X3,X3 xDrive30i
2024,BMW,X4,X4 M
2024,BMW,X4,X4 M Competition
2024,BMW,X4,X4 M40i
2024,BMW,X4,X4 xDrive30i
2024,BMW,X5,X5 M Competition
2024,BMW,X5,X5 M60i xDrive
2024,BMW,X5,X5 sDrive40i
2024,BMW,X5,X5 xDrive40i
2024,BMW,X6,X6 M Competition
2024,BMW,X6,X6 M60i xDrive
2024,BMW,X6,X6 xDrive40i
2024,BMW,X7,Alpina XB7
2024,BMW,X7,X7 M60i xDrive
2024,BMW,X7,X7 xDrive40i
2024,BMW,XM,XM
2024,BMW,Z4,Z4 M40i
2024,BMW,Z4,Z4 sDrive30i
2024,Bugatti,Chiron,Chiron Super Sport
2024,Bugatti Rimac,Nevera,Nevera
2024,Buick,Enclave,Enclave AWD
2024,Buick,Enclave,Enclave FWD
2024,Buick,Encore,Encore GX AWD
2024,Buick,Encore,Encore GX FWD
2024,Buick,Envision,Envision AWD
2024,Buick,Envista,Envista
2024,Cadillac,CT4,CT4
2024,Cadillac,CT4,CT4 AWD
2024,Cadillac,CT4,CT4 V
2024,Cadillac,CT4,CT4 V AWD
2024,Cadillac,CT5,CT5
2024,Cadillac,CT5,CT5 AWD
2024,Cadillac,CT5,CT5 V
2024,Cadillac,CT5,CT5 V AWD
2024,Cadillac,Escalade,Escalade 2WD
2024,Cadillac,Escalade,Escalade 4WD
2024,Cadillac,Escalade,Escalade V AWD
2024,Cadillac,LYRIQ,LYRIQ
2024,Cadillac,LYRIQ,LYRIQ AWD
2024,Cadillac,XT4,XT4 AWD
2024,Cadillac,XT4,XT4 FWD
2024,Cadillac,XT5,XT5 AWD
2024,Cadillac,XT5,XT5 FWD
2024,Cadillac,XT5,XT5 Hearse AWD
2024,Cadillac,XT5,XT5 Hearse FWD
2024,Cadillac,XT5,XT5 Limo AWD
2024,Cadillac,XT5,XT5 Limo FWD
2024,Cadillac,XT6,XT6 AWD
2024,Cadillac,XT6,XT6 FWD
2024,Chevrolet,Blazer,Blazer AWD
2024,Chevrolet,Blazer,Blazer EV AWD
2024,Chevrolet,Blazer,Blazer EV RWD
2024,Chevrolet,Blazer,Blazer FWD
2024,Chevrolet,Camaro,Camaro
2024,Chevrolet,Colorado,Colorado 2WD
2024,Chevrolet,Colorado,Colorado 4WD
2024,Chevrolet,Colorado,Colorado Mud Terrain Tires 4WD
2024,Chevrolet,Colorado,Colorado ZR2 4WD
2024,Chevrolet,Colorado,Colorado ZR2 Bison 4WD
