year,make,model,trim
1984,Alfa Romeo,GT,GT V6 2.5
1984,Alfa Romeo,Spider,Spider Veloce 2000
1984,AM General,DJ Po Vehicle,DJ Po Vehicle 2WD
1984,AM General,FJ8c Post Office,FJ8c Post Office
1984,American Motors Corporation,Eagle,Eagle 4WD
1984,American Motors Corporation,Eagle,Eagle SX/4 4WD
1984,Aston Martin,Lagonda,Lagonda
1984,Aston Martin,Saloon/vantage/volante,Saloon/vantage/volante
1984,Aston Martin,Saloon/Vantage/Volante,Saloon/Vantage/Volante
1984,Audi,4000,4000
1984,Audi,4000,4000 S quattro
1984,Audi,5000,5000S
1984,Audi,5000,5000S Wagon
1984,Audi,Coupe GT,Coupe GT
1984,Audi,Quattro,Quattro
1984,Avanti Motor Corporation,Avanti II,Avanti II
1984,Bertone,X1/9,X1/9
1984,Bill Dovell Motor Car Company,Dovell 230CE,Dovell 230CE
1984,Bill Dovell Motor Car Company,Dovell 230E,Dovell 230E
1984,Bitter Gmbh and Co. Kg,SC,SC
1984,BMW,3 Series,3 Series
1984,BMW,5 Series,5 Series
1984,BMW,6 Series,6 Series
1984,BMW,7 Series,7 Series
1984,Buick,Century,Century
1984,Buick,Century Estate Wagon,Century Estate Wagon
1984,Buick,Electra Estate Wagon,Electra Estate Wagon
1984,Buick,Electra/Park Avenue,Electra/Park Avenue
1984,Buick,LeSabre,LeSabre
1984,Buick,Regal,Regal
1984,Buick,Riviera,Riviera
1984,Buick,Riviera,Riviera Convertible
1984,Buick,Skyhawk,Skyhawk
1984,Buick,Skyhawk,Skyhawk Wagon
1984,Buick,Skylark,Skylark
1984,Cadillac,Brougham/DeVille,Brougham/DeVille (RWD)
1984,Cadillac,Cimarron,Cimarron
1984,Cadillac,Eldorado,Eldorado
1984,Cadillac,Eldorado,Eldorado Convertible
1984,Cadillac,Fleetwood/DeVille,Fleetwood/DeVille (FWD)
1984,Cadillac,Limousine,Limousine
1984,Cadillac,Seville,Seville
1984,Chevrolet,Blazer,K5/K10 Blazer 4WD
1984,Chevrolet,Blazer,S10 Blazer 2WD
1984,Chevrolet,Blazer,T10 (S10) Blazer 4WD
1984,Chevrolet,C10 Pickup,C10 Pickup 2WD
1984,Chevrolet,C20 Pickup,C20 Pickup 2WD
1984,Chevrolet,Camaro,Camaro
1984,Chevrolet,Caprice,Caprice Wagon
1984,Chevrolet,Cavalier,Cavalier
1984,Chevrolet,Cavalier,Cavalier Convertible
1984,Chevrolet,Cavalier,Cavalier Wagon
1984,Chevrolet,Celebrity,Celebrity
1984,Chevrolet,Celebrity,Celebrity Wagon
1984,Chevrolet,Chevette,Chevette
1984,Chevrolet,Citation II,Citation II
1984,Chevrolet,Corvette,Corvette
1984,Chevrolet,El Camino Pickup,El Camino Pickup 2WD
1984,Chevrolet,G10/20 Van,G10/20 Sport Van 2WD
1984,Chevrolet,G10/20 Van,G10/20 Van 2WD
1984,Chevrolet,G30 Van,G30 Van 2WD
1984,Chevrolet,Impala/Caprice,Impala/Caprice
1984,Chevrolet,K10 Pickup,K10 Pickup 4WD
1984,Chevrolet,K20 Pickup,K20 Pickup 4WD
1984,Chevrolet,Monte Carlo,Monte Carlo
1984,Chevrolet,S10 Cab Chassis,S10 Cab Chassis 2WD
1984,Chevrolet,S10 Pickup,S10 Pickup 2WD
1984,Chevrolet,S10 Utility Body,S10 Utility Body 2WD
1984,Chevrolet,Sport Van,G30 Sport Van 2WD
1984,Chevrolet,Suburban,Suburban C10 2WD
1984,Chevrolet,Suburban,Suburban K10 4WD
1984,Chevrolet,T10 (S10) Pickup,T10 (S10) Pickup 4WD
1984,Chrysler,E Class/New Yorker,E Class/New Yorker
1984,Chrysler,Executive Sedan/Limousine,Executive Sedan/Limousine
1984,Chrysler,Laser/Daytona,Laser/Daytona
1984,Chrysler,LeBaron,LeBaron
1984,Chrysler,LeBaron,LeBaron Convertible
1984,Chrysler,Newport/Fifth Avenue,Newport/Fifth Avenue
1984,Chrysler,Town and Country,Town and Country Wagon
1984,Dodge,600,600
1984,Dodge,600,600 Convertible
1984,Dodge,Aries,Aries
1984,Dodge,Aries,Aries Wagon
1984,Dodge,B150/B250 Van,B150/B250 Van 2WD
1984,Dodge,B150/B250 Wagon,B150/B250 Wagon 2WD
1984,Dodge,B350 Van,B350 Van 2WD
1984,Dodge,B350 Wagon,B350 Wagon 2WD
1984,Dodge,Caravan/Ram Van,Caravan/Ram Van 2WD
1984,Dodge,Charger,Charger
1984,Dodge,Colt,Colt
1984,Dodge,Colt,Colt Vista
1984,Dodge,Conquest,Conquest
1984,Dodge,D100/D150 Pickup,D100/D150 Pickup 2WD
1984,Dodge,D250 Pickup,D250 Pickup 2WD
1984,Dodge,D250 Pickup Cab Chassis,D250 Pickup Cab Chassis 2WD
1984,Dodge,Daytona,Daytona
1984,Dodge,Diplomat,Diplomat
1984,Dodge,Omni,Omni
1984,Dodge,Power Ram 50 Pickup,Power Ram 50 Pickup 4WD
1984,Dodge,Ram 50 Pickup,Ram 50 Pickup 2WD
1984,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD
1984,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD
1984,Dodge,Rampage Pickup,Rampage Pickup 2WD
1984,Dodge,W100/W150 Pickup,W100/W150 Pickup 4WD
1984,Dodge,W250 Pickup,W250 Pickup 4WD
1984,Ford,Bronco,Bronco 4WD
1984,Ford,Bronco II,Bronco II 4WD
1984,Ford,Courier,Courier Pickup 2WD
1984,Ford,E150 Club Wagon,E150 Club Wagon 2WD
1984,Ford,E150 Econoline,E150 Econoline 2WD
1984,Ford,E250 Econoline,E250 Econoline 2WD
1984,Ford,Escort,Escort
1984,Ford,Escort,Escort Wagon
1984,Ford,EXP,EXP
1984,Ford,F150,F150 Pickup 2WD
1984,Ford,F150,F150 Pickup 4WD
1984,Ford,F250,F250 Pickup 2WD
1984,Ford,F250,F250 Pickup 4WD
1984,Ford,F250,F250 Pickup Cab Chassis 2WD
1984,Ford,Laser,Laser
1984,Ford,LTD,LTD
1984,Ford,LTD,LTD Wagon
1984,Ford,LTD Crown Victoria,LTD Crown Victoria
1984,Ford,LTD Crown Victoria,LTD Crown Victoria Wagon
1984,Ford,Mustang,Mustang
1984,Ford,Ranger,Ranger Pickup 2WD
1984,Ford,Ranger,Ranger Pickup 4WD
1984,Ford,Ranger,Ranger Pickup Cab Chassis 2WD
1984,Ford,Tempo,Tempo
1984,Ford,Thunderbird,Thunderbird
1984,GMC,Caballero Pickup,Caballero Pickup 2WD
1984,GMC,Jimmy,K15 Jimmy 4WD
1984,GMC,Jimmy,S15 Jimmy 2WD
1984,GMC,Jimmy,T15 (S15) Jimmy 4WD
1984,GMC,Pickup,C15 Pickup 2WD
1984,GMC,Pickup,C25 Pickup 2WD
1984,GMC,Pickup,K15 Pickup 4WD
1984,GMC,Pickup,K25 Pickup 4WD
1984,GMC,Pickup,T15 (S15) Pickup 4WD
1984,GMC,Rally,G15/25 Rally 2WD
1984,GMC,Rally,G35 Rally 2WD
1984,GMC,S15 Cab Chassis,S15 Cab Chassis 2WD
1984,GMC,S15 Pickup,S15 Pickup 2WD
1984,GMC,S15 Utility Body,S15 Utility Body 2WD
1984,GMC,Suburban,C15 Suburban 2WD
1984,GMC,Suburban,K15 Suburban 4WD
1984,GMC,Vandura,Vandura G15/25 2WD
1984,GMC,Vandura,Vandura G35 2WD
1984,Grumman Olson,Kubvan,Kubvan
1984,Honda,Accord,Accord
1984,Honda,Civic,Civic
1984,Honda,Civic,Civic CRX
1984,Honda,Civic,Civic Wagon
1984,Honda,Prelude,Prelude
1984,Import Foreign Auto Sales Inc,1fas 410,1fas 410
1984,Isuzu,I-Mark,I-Mark
1984,Isuzu,Impulse,Impulse
1984,Isuzu,Pickup,Pickup 2WD
1984,Isuzu,Pickup,Pickup 4WD
1984,Isuzu,Trooper,Trooper 4WD
1984,Jaguar,XJ,XJ
1984,Jaguar,XJS,XJS
1984,Jeep,Cherokee/Wagoneer,Cherokee/Wagoneer 4WD
1984,Jeep,CJ,CJ7 4WD
1984,Jeep,CJ,CJ8 4WD
1984,Jeep,Grand Wagoneer,Grand Wagoneer 4WD
1984,Jeep,J-10 Pickup,J-10 Pickup 4WD
1984,Jeep,Scrambler Pickup,Scrambler Pickup 4WD
1984,Kenyon Corporation Of America,Kenyon 5.0 Cabrio,Kenyon 5.0 Cabrio
1984,Kenyon Corporation Of America,Kenyon 5.0 Coupe,Kenyon 5.0 Coupe
1984,Kenyon Corporation Of America,Kenyon 5.0 Sedan,Kenyon 5.0 Sedan
1984,Kenyon Corporation Of America,Kenyon 5.0 Sp Sedan,Kenyon 5.0 Sp Sedan
1984,Lamborghini,Countach,Countach Lp500s
1984,Lincoln,Continental,Continental
1984,Lincoln,Mark VII,Mark VII
1984,Lincoln,Town Car,Town Car
1984,Lotus,Esprit,Esprit
1984,Maserati,Biturbo,Biturbo
1984,Maserati,Quattroporte,Quattroporte
1984,Mazda,626,626
1984,Mazda,B Pickup,B2000/B2200 Pickup 2WD
1984,Mazda,GLC,GLC
1984,Mazda,GLC,GLC Wagon
1984,Mazda,RX-7,RX-7
1984,Mercedes-Benz,190,190 D 2.2/190 E 2.3
1984,Mercedes-Benz,300,300D/300CD
1984,Mercedes-Benz,300,300SD/380SE
1984,Mercedes-Benz,300,300TD
1984,Mercedes-Benz,380,380SL
1984,Mercedes-Benz,500,500SEC
1984,Mercedes-Benz,500,500SEL
1984,Mercury,Capri,Capri
1984,Mercury,Cougar,Cougar
1984,Mercury,Grand Marquis,Grand Marquis
1984,Mercury,Grand Marquis,Grand Marquis Wagon
1984,Mercury,Lynx,Lynx
1984,Mercury,Lynx,Lynx Wagon
1984,Mercury,Marquis,Marquis
1984,Mercury,Marquis,Marquis Wagon
1984,Mercury,Topaz,Topaz
1984,Mitsubishi,Cordia,Cordia
1984,Mitsubishi,Montero,Montero 4WD
1984,Mitsubishi,Precis,Precis
1984,Mitsubishi,Space Wagon,Space Wagon
1984,Mitsubishi,Starion,Starion
1984,Mitsubishi,Tredia,Tredia
1984,Mitsubishi,Truck,Truck 2WD
1984,Mitsubishi,Truck,Truck 4WD
1984,Nissan,200SX,200SX
1984,Nissan,300ZX,300ZX
1984,Nissan,300ZX,300ZX 2x2
1984,Nissan,Maxima,Maxima
1984,Nissan,Maxima,Maxima Wagon
1984,Nissan,Pickup,Pickup 2WD
1984,Nissan,Pickup,Pickup 4WD
1984,Nissan,Pickup,Pickup Cab Chassis
1984,Nissan,Pulsar/Pulsar-NX,Pulsar/Pulsar-NX
1984,Nissan,Sentra,Sentra
1984,Nissan,Sentra,Sentra Wagon
1984,Nissan,Stanza,Stanza
1984,Oldsmobile,Custom Cruiser,Custom Cruiser Wagon
1984,Oldsmobile,Cutlass Ciera,Cutlass Ciera
1984,Oldsmobile,Cutlass Cruiser,Cutlass Cruiser Wagon
1984,Oldsmobile,Cutlass Supreme,Cutlass Supreme
1984,Oldsmobile,Delta 88,Delta 88
1984,Oldsmobile,Firenza,Firenza
1984,Oldsmobile,Firenza,Firenza Cruiser Wagon
1984,Oldsmobile,Ninety-Eight,Ninety-Eight
1984,Oldsmobile,Ninety-Eight II,Ninety-Eight II
1984,Oldsmobile,Omega,Omega
1984,Oldsmobile,Toronado,Toronado
1984,Peugeot,505,505 Sedan
1984,Peugeot,505,505 Station Wagon
1984,Peugeot,604,604 Sedan
1984,Pininfarina,Spider,Spider
1984,Plymouth,Colt,Colt
1984,Plymouth,Colt,Colt Vista
1984,Plymouth,Conquest,Conquest
1984,Plymouth,Gran Fury,Gran Fury
1984,Plymouth,Horizon,Horizon
1984,Plymouth,Reliant,Reliant
1984,Plymouth,Reliant,Reliant Wagon
1984,Plymouth,Turismo,Turismo
1984,Plymouth,Voyager,Voyager 2WD
1984,Pontiac,1000,1000
1984,Pontiac,6000,6000
1984,Pontiac,6000,6000 Wagon
1984,Pontiac,Bonneville,Bonneville
1984,Pontiac,Fiero,Fiero
1984,Pontiac,Firebird/Trans Am/Formula,Firebird
1984,Pontiac,Grand Prix,Grand Prix
1984,Pontiac,Parisienne,Parisienne
1984,Pontiac,Parisienne,Parisienne Wagon
1984,Pontiac,Phoenix,Phoenix
1984,Pontiac,Sunbird,2000 Sunbird
1984,Pontiac,Sunbird,2000 Sunbird Convertible
1984,Pontiac,Sunbird,2000 Sunbird Wagon
1984,Porsche,911,911 SC
1984,Porsche,928,928 S
1984,Porsche,944,944
1984,Renault,18i/Wagon/Sportwagon,18i
1984,Renault,18i/Wagon/Sportwagon,Sportwagon
1984,Renault,Alliance/Encore,Alliance/Encore
1984,Renault,Fuego,Fuego
1984,Rolls-Royce,Camargue,Camargue
1984,Rolls-Royce,Corniche/Continental,Corniche
1984,Rolls-Royce,Silver Spirit/Spur/Mulsanne,Silver Spirit/Spur/Mulsanne
1984,Rolls-Royce,Silver Spur Limousine,Silver Spur Limousine
1984,S and S Coach Company  E.p. Dutton,Funeral Coach,Funeral Coach  2WD
1984,Saab,900,900
1984,Subaru,Brat,Brat 4WD
1984,Subaru,Sedan,Sedan
1984,Subaru,Sedan,Sedan 4WD
1984,Subaru,Wagon,Wagon
1984,Subaru,Wagon,Wagon 4WD
1984,Superior Coaches Div E.p. Dutton,Funeral Coach,Funeral Coach  2WD
1984,Suzuki,SJ 410,SJ 410 4WD
1984,Suzuki,SJ 410,SJ 410V 4WD
1984,Suzuki,SJ 410,SJ410K P/U 4WD
1984,Toyota,4Runner,4Runner 4WD
1984,Toyota,Cab Chassis,Cab Chassis 2WD
1984,Toyota,Camry,Camry
1984,Toyota,Celica,Celica
1984,Toyota,Celica,Celica Supra
1984,Toyota,Corolla,Corolla
1984,Toyota,Corolla,Corolla Sport
1984,Toyota,Cressida,Cressida
1984,Toyota,Cressida,Cressida Wagon
1984,Toyota,Land Cruiser,Land Cruiser Wagon 4WD
1984,Toyota,Starlet,Starlet
1984,Toyota,Tercel,Tercel
1984,Toyota,Tercel,Tercel Wagon
1984,Toyota,Tercel,Tercel Wagon 4WD
1984,Toyota,Truck/T100,Truck 2WD
1984,Toyota,Truck/T100,Truck 4WD
1984,Toyota,Van,Cargo Van 2WD
1984,Toyota,Van,Van 2WD
1984,Volkswagen,Jetta,Jetta
1984,Volkswagen,Quantum,Quantum
1984,Volkswagen,Quantum,Quantum Wagon
1984,Volkswagen,Rabbit,Rabbit
1984,Volkswagen,Rabbit,Rabbit Convertible
1984,Volkswagen,Scirocco,Scirocco
1984,Volkswagen,Vanagon,Vanagon 2WD
1984,Volvo,240,240 DL/GL/Turbo
1984,Volvo,240,240 DL/GL/Turbo Wagon
1984,Volvo,740/760,760 GLE
