year,make,model,trim
2022,Acura,ILX,ILX
2022,Acura,MDX,MDX AWD
2022,Acura,MDX,MDX AWD Type-S
2022,Acura,MDX,MDX FWD
2022,Acura,NSX,NSX Hybrid
2022,Acura,RDX,RDX AWD
2022,Acura,RDX,RDX AWD A-SPEC
2022,Acura,RDX,RDX FWD
2022,Acura,RDX,RDX FWD A-SPEC
2022,Acura,TLX,TLX AWD
2022,Acura,TLX,TLX AWD A-SPEC
2022,Acura,TLX,TLX FWD
2022,Acura,TLX,TLX FWD A-SPEC
2022,Acura,TLX,TLX Type-S
2022,Acura,TLX,TLX Type-S Perf Tire
2022,Alfa Romeo,Giulia,Giulia
2022,Alfa Romeo,Giulia,Giulia AWD
2022,Alfa Romeo,Stelvio,Stelvio
2022,Alfa Romeo,Stelvio,Stelvio AWD
2022,Aston Martin,DB11,DB11 V12
2022,Aston Martin,DB11,DB11 V8
2022,Aston Martin,DBS,DBS
2022,Aston Martin,DBX V8,DBX V8
2022,Aston Martin,Vantage,Vantage V8
2022,Audi,A3,A3
2022,Audi,A3,A3 quattro
2022,Audi,A4,A4 allroad quattro
2022,Audi,A4,A4 quattro
2022,Audi,A4,A4 S line quattro
2022,Audi,A5,A5 Cabriolet quattro
2022,Audi,A5,A5 Coupe quattro
2022,Audi,A5,A5 Sportback quattro
2022,Audi,A5,A5 Sportback S line quattro
2022,Audi,A6,A6 Allroad quattro
2022,Audi,A6,A6 quattro
2022,Audi,A7,A7 quattro
2022,Audi,A7,A7 TFSI e quattro
2022,Audi,A8,A8 L quattro
2022,Audi,e-tron,e-tron quattro
2022,Audi,e-tron,e-tron Sportback quattro
2022,Audi,e-tron GT,e-tron GT
2022,Audi,e-tron S,e-tron S (20in wheels)
2022,Audi,e-tron S,e-tron S (21/22 inch wheels)
2022,Audi,e-tron S,e-tron S Sportback (20 inch wheels)
2022,Audi,e-tron S,e-tron S Sportback (21/22 inch wheels)
2022,Audi,Q3,Q3 quattro
2022,Audi,Q3,Q3 S line quattro
2022,Audi,Q4 e-tron,Q4 e-tron quattro
2022,Audi,Q4 e-tron,Q4 e-tron Sportback quattro
2022,Audi,Q5,Q5 quattro
2022,Audi,Q5,Q5 S line quattro
2022,Audi,Q5,Q5 Sportback S line quattro
2022,Audi,Q5,Q5 TFSI e quattro
2022,Audi,Q7,Q7 quattro
2022,Audi,Q8,Q8 quattro
2022,Audi,R8,R8 Coupe
2022,Audi,R8,R8 Coupe RWD
2022,Audi,R8,R8 Spyder
2022,Audi,R8,R8 Spyder RWD
2022,Audi,RS,RS 3
2022,Audi,RS,RS 5 Coupe
2022,Audi,RS,RS 5 Sportback
2022,Audi,RS,RS 6 Avant
2022,Audi,RS,RS 7
2022,Audi,RS e-tron GT,RS e-tron GT
2022,Audi,RS Q8,RS Q8
2022,Audi,S3,S3
2022,Audi,S4,S4
2022,Audi,S5,S5 Cabriolet
2022,Audi,S5,S5 Coupe
2022,Audi,S5,S5 Sportback
2022,Audi,S6,S6
2022,Audi,S7,S7
2022,Audi,S8,S8
2022,Audi,SQ5,SQ5
2022,Audi,SQ5,SQ5 Sportback
2022,Audi,SQ7,SQ7
2022,Audi,SQ8,SQ8
2022,Audi,TT,TT Coupe quattro
2022,Audi,TT,TT Roadster quattro
2022,Audi,TT RS,TT RS Coupe
2022,Audi,TTS Coupe,TTS Coupe quattro
2022,Bentley,Bentayga,Bentayga
2022,Bentley,Bentayga,Bentayga Speed
2022,Bentley,Continental,Continental GT
2022,Bentley,Continental,Continental GT Speed
2022,Bentley,Continental,Continental GT Speed Convertible
2022,Bentley,Continental,Continental GT V8 Convertible
2022,Bentley,Flying Spur,Flying Spur
2022,Bentley,Flying Spur,Flying Spur Hybrid
2022,BMW,2 Series,228i Gran Coupe
2022,BMW,2 Series,228i xDrive Gran Coupe
2022,BMW,2 Series,230i Coupe
2022,BMW,2 Series,M235i xDrive Gran Coupe
2022,BMW,2 Series,M240i xDrive Coupe
2022,BMW,3 Series,330e Sedan
2022,BMW,3 Series,330e xDrive Sedan
2022,BMW,3 Series,330i Sedan
2022,BMW,3 Series,330i xDrive Sedan
2022,BMW,3 Series,M340i Sedan
2022,BMW,3 Series,M340i xDrive Sedan
2022,BMW,4 Series,430i Convertible
2022,BMW,4 Series,430i Coupe
2022,BMW,4 Series,430i Gran Coupe
2022,BMW,4 Series,430i xDrive Convertible
2022,BMW,4 Series,430i xDrive Coupe
2022,BMW,4 Series,M440i Convertible
2022,BMW,4 Series,M440i Coupe
2022,BMW,4 Series,M440i xDrive Convertible
2022,BMW,4 Series,M440i xDrive Coupe
2022,BMW,4 Series,M440i xDrive Gran Coupe
2022,BMW,5 Series,530e Sedan
2022,BMW,5 Series,530e xDrive Sedan
2022,BMW,5 Series,530i Sedan
2022,BMW,5 Series,530i xDrive Sedan
2022,BMW,5 Series,540i Sedan
2022,BMW,5 Series,540i xDrive Sedan
2022,BMW,5 Series,M550i xDrive Sedan
2022,BMW,7 Series,740i Sedan
2022,BMW,7 Series,740i xDrive Sedan
2022,BMW,7 Series,745e xDrive
2022,BMW,7 Series,750i xDrive Sedan
2022,BMW,7 Series,Alpina B7 xDrive
