year,make,model,trim
1986,Acura,Integra,Integra
1986,Acura,Legend,Legend
1986,Alfa Romeo,GTV,GTV
1986,Alfa Romeo,Spider,Spider
1986,American Motors Corporation,Eagle,Eagle
1986,Audi,4000,4000 CS quattro
1986,Audi,4000,4000 S
1986,Audi,5000,5000 CS quattro
1986,Audi,5000,5000 CS quattro Wagon
1986,Audi,5000,5000 S
1986,Audi,5000,5000S Wagon
1986,Audi,Coupe GT,Coupe GT
1986,Autokraft Limited,A.C.Mkiv,A.C.Mkiv
1986,Bertone,X1/9,X1/9
1986,Bitter Gmbh and Co. Kg,Bitter SC,Bitter SC
1986,BMW,3 Series,3 Series
1986,BMW,5 Series,5 Series
1986,BMW,6 Series,6 Series
1986,BMW,7 Series,7 Series
1986,Buick,Century,Century
1986,Buick,Century Wagon,Century Wagon
1986,Buick,Electra/Park Avenue,Electra/Park Avenue
1986,Buick,LeSabre,LeSabre
1986,Buick,LeSabre/Electra Wagon,LeSabre/Electra Wagon
1986,Buick,Regal,Regal
1986,Buick,Riviera,Riviera
1986,Buick,Skyhawk,Skyhawk
1986,Buick,Skyhawk,Skyhawk Wagon
1986,Buick,Somerset/Skylark,Somerset/Skylark
1986,Cadillac,Cimarron,Cimarron
1986,Cadillac,Eldorado,Eldorado
1986,Cadillac,Fleetwood Brougham,Fleetwood Brougham
1986,Cadillac,Fleetwood/DeVille,Fleetwood/DeVille
1986,Cadillac,Limousine,Limousine
1986,Cadillac,Seville,Seville
1986,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1986,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1986,Chevrolet,Blazer,K10 Blazer 4WD
1986,Chevrolet,Blazer,S10 Blazer 2WD
1986,Chevrolet,Blazer,T10 (S10) Blazer 4WD
1986,Chevrolet,C10 Pickup,C10 Pickup 2WD
1986,Chevrolet,C20 Pickup,C20 Pickup 2WD
1986,Chevrolet,Camaro,Camaro
1986,Chevrolet,Caprice,Caprice
1986,Chevrolet,Caprice,Caprice Wagon
1986,Chevrolet,Cavalier,Cavalier
1986,Chevrolet,Cavalier,Cavalier Convertible
1986,Chevrolet,Cavalier,Cavalier Wagon
1986,Chevrolet,Celebrity,Celebrity
1986,Chevrolet,Celebrity,Celebrity Wagon
1986,Chevrolet,Chevette,Chevette CS
1986,Chevrolet,Corvette,Corvette
1986,Chevrolet,Corvette,Corvette Convertible
1986,Chevrolet,El Camino Pickup,El Camino Pickup 2WD
1986,Chevrolet,G10/20 Van,G10/20 Sport Van 2WD
1986,Chevrolet,G10/20 Van,G10/20 Van 2WD
1986,Chevrolet,G30 Van,G30 Van 2WD
1986,Chevrolet,K10 Pickup,K10 Pickup 4WD
1986,Chevrolet,K20 Pickup,K20 Pickup 4WD
1986,Chevrolet,Monte Carlo,Monte Carlo
1986,Chevrolet,Nova,Nova
1986,Chevrolet,S10 Cab Chassis,S10 Cab Chassis 2WD
1986,Chevrolet,S10 Pickup,S10 Pickup 2WD
1986,Chevrolet,Spectrum,Spectrum
1986,Chevrolet,Sport Van,G30 Sport Van 2WD
1986,Chevrolet,Sprint,Sprint
1986,Chevrolet,Sprint,Sprint ER
1986,Chevrolet,Sprint,Sprint Plus
1986,Chevrolet,Suburban,Suburban C10 2WD
1986,Chevrolet,Suburban,Suburban K10 4WD
1986,Chevrolet,T10 (S10) Pickup,T10 (S10) Pickup 4WD
1986,Chrysler,Laser/Daytona,Laser/Daytona
1986,Chrysler,LeBaron,LeBaron
1986,Chrysler,LeBaron,LeBaron Convertible
1986,Chrysler,LeBaron,LeBaron GTS
1986,Chrysler,Limousine,Limousine
1986,Chrysler,New Yorker,New Yorker
1986,Chrysler,Newport/Fifth Avenue,Newport/Fifth Avenue
1986,Chrysler,Town and Country,Town and Country Wagon
1986,Dodge,600,600
1986,Dodge,600,600 Convertible
1986,Dodge,Aries,Aries
1986,Dodge,Aries,Aries Wagon
1986,Dodge,B150/B250 Van,B150/B250 Van 2WD
1986,Dodge,B150/B250 Wagon,B150/B250 Wagon 2WD
1986,Dodge,B350 Van,B350 Van 2WD
1986,Dodge,B350 Wagon,B350 Wagon 2WD
1986,Dodge,Caravan/Ram Van,Caravan/Ram Van 2WD
1986,Dodge,Charger,Charger
1986,Dodge,Colt,Colt
1986,Dodge,Colt,Colt Vista
1986,Dodge,Colt,Colt Vista 4WD
1986,Dodge,Conquest,Conquest
1986,Dodge,D100/D150 Pickup,D100/D150 Pickup 2WD
1986,Dodge,D250 Cab Chassis,D250 Cab Chassis 2WD
1986,Dodge,D250 Pickup,D250 Pickup 2WD
1986,Dodge,Daytona,Daytona
1986,Dodge,Diplomat,Diplomat
1986,Dodge,GLH-S,GLH-S
1986,Dodge,Lancer,Lancer
1986,Dodge,Omni,Omni
1986,Dodge,Power Ram 50 Pickup,Power Ram50 4WD
1986,Dodge,Ram 50 Pickup,Ram 50 Pickup 2WD
1986,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD
1986,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD
1986,Dodge,W100/W150 Pickup,W100/W150 Pickup 4WD
1986,Dodge,W250 Pickup,W250 Pickup 4WD
1986,Ferrari,328 GTS/GTB,328 GTS/GTB
1986,Ferrari,Mondial/Cabriolet,Mondial/Cabriolet
1986,Ferrari,Testarossa,Testarossa
1986,Ford,Aerostar Van,Aerostar Van
1986,Ford,Aerostar Wagon,Aerostar Wagon
1986,Ford,Bronco,Bronco 4WD
1986,Ford,Bronco II,Bronco II 2WD
1986,Ford,Bronco II,Bronco II 4WD
1986,Ford,Courier,Courier Pickup 2WD
1986,Ford,E150 Club Wagon,E150 Club Wagon
1986,Ford,E150 Econoline,E150 Econoline 2WD
1986,Ford,E250 Econoline,E250 Econoline 2WD
1986,Ford,Escort,Escort
1986,Ford,Escort,Escort FS
1986,Ford,Escort,Escort Wagon
1986,Ford,EXP,EXP
1986,Ford,F150,F150 Pickup 2WD
1986,Ford,F150,F150 Pickup 4WD
1986,Ford,F250,F250 Pickup 2WD
1986,Ford,F250,F250 Pickup 4WD
1986,Ford,Laser,Laser
1986,Ford,LTD,LTD
1986,Ford,LTD,LTD Wagon
1986,Ford,LTD Crown Victoria,LTD Crown Victoria
1986,Ford,LTD Crown Victoria,LTD Crown Victoria Wagon
1986,Ford,Mustang,Mustang
1986,Ford,Ranger,Ranger Pickup 2WD
1986,Ford,Ranger,Ranger Pickup 4WD
1986,Ford,Ranger,Ranger Pickup Cab Chassis
