year,make,model,trim
1992,Acura,Integra,Integra
1992,Acura,Legend,Legend
1992,Acura,NSX,NSX
1992,Acura,Vigor,Vigor
1992,Alfa Romeo,164,164
1992,Alfa Romeo,Spider,Spider
1992,Aston Martin,Virage,Virage Saloon
1992,Audi,100,100
1992,Audi,100,100 quattro
1992,Audi,100,100 quattro Wagon
1992,Audi,80/90,80
1992,Audi,80/90,80 quattro
1992,Audi,S4,S4
1992,Audi,V8,V8
1992,Autokraft Limited,A.C.MARK IV,A.C.MARK IV
1992,BMW,3 Series,318i Convertible
1992,BMW,3 Series,318i/318iS
1992,BMW,3 Series,325i Convertible
1992,BMW,3 Series,325i/325iS
1992,BMW,5 Series,525i
1992,BMW,5 Series,525i Touring
1992,BMW,5 Series,535i
1992,BMW,7 Series,735i
1992,BMW,7 Series,735il
1992,BMW,7 Series,750il
1992,BMW,8 Series,850i
1992,BMW,M,M5
1992,Buick,Century,Century
1992,Buick,Century Wagon,Century Wagon
1992,Buick,Coachbuilder Wagon,Coachbuilder Wagon
1992,Buick,LeSabre,LeSabre
1992,Buick,Park Avenue,Park Avenue
1992,Buick,Regal,Regal
1992,Buick,Riviera,Riviera
1992,Buick,Roadmaster,Roadmaster
1992,Buick,Roadmaster,Roadmaster Wagon
1992,Buick,Skylark,Skylark
1992,Cadillac,Allante,Allante
1992,Cadillac,Brougham,Brougham
1992,Cadillac,Commercial Chassis,Commercial Chassis
1992,Cadillac,Eldorado,Eldorado
1992,Cadillac,Fleetwood/DeVille,Fleetwood/DeVille
1992,Cadillac,Seville,Seville
1992,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1992,Chevrolet,Astro Cargo,Astro AWD (cargo)
1992,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1992,Chevrolet,Astro Passenger,Astro AWD (passenger)
1992,Chevrolet,Beretta,Beretta
1992,Chevrolet,Blazer,Blazer 1500 4WD
1992,Chevrolet,Blazer,S10 Blazer 2WD
1992,Chevrolet,Blazer,S10 Blazer 4WD
1992,Chevrolet,C1500 Pickup,C1500 Pickup 2WD
1992,Chevrolet,C2500 Pickup,C2500 Pickup 2WD
1992,Chevrolet,Camaro,Camaro
1992,Chevrolet,Caprice,Caprice
1992,Chevrolet,Caprice,Caprice Wagon
1992,Chevrolet,Cavalier,Cavalier
1992,Chevrolet,Cavalier,Cavalier Wagon
1992,Chevrolet,Coachbuilder Wagon,Coachbuilder Wagon
1992,Chevrolet,Corsica,Corsica
1992,Chevrolet,Corvette,Corvette
1992,Chevrolet,G10/20 Van,G10/20 Sport Van 2WD
1992,Chevrolet,G10/20 Van,G10/20 Van 2WD
1992,Chevrolet,G30 Van,G30 Van 2WD
1992,Chevrolet,K1500 Pickup,K1500 Pickup 4WD
1992,Chevrolet,K2500 Pickup,K2500 Pickup 4WD
1992,Chevrolet,Lumina,Lumina
1992,Chevrolet,Lumina/APV Minivan,Lumina/APV Minivan 2WD
1992,Chevrolet,Postal Cab Chassis,Postal Cab Chassis 2WD
1992,Chevrolet,S10 Pickup,S10 Pickup 2WD
1992,Chevrolet,S10 Pickup,S10 Pickup 4WD
1992,Chevrolet,Sport Van,G30 Sport Van 2WD
1992,Chevrolet,Sprint,Sprint
1992,Chevrolet,Suburban,Suburban 1500 2WD
1992,Chevrolet,Suburban,Suburban 1500 4WD
1992,Chrysler,Imperial/New Yorker Fifth Avenue,Imperial/New Yorker Fifth Avenue
1992,Chrysler,LeBaron,LeBaron
1992,Chrysler,LeBaron,LeBaron Convertible
1992,Chrysler,New Yorker,New Yorker
1992,Chrysler,Town and Country,Town and Country 2WD
1992,Chrysler,Town and Country,Town and Country 4WD
1992,Consulier Industries Inc,Consulier GTP,Consulier GTP
1992,CX Automotive,XM,XM v6
1992,CX Automotive,XM,XM v6 Break
1992,CX Automotive,XM,XM v6a
1992,Daihatsu,Charade,Charade
1992,Daihatsu,Rocky,Rocky 4WD
1992,Dodge,B150/B250 Van,B150/B250 Van 2WD
1992,Dodge,B150/B250 Wagon,B150/B250 Wagon 2WD
1992,Dodge,B350 Van,B350 Van 2WD
1992,Dodge,B350 Wagon,B350 Wagon 2WD
1992,Dodge,Caravan C/V/Grand Caravan,Caravan C/V/Grand Caravan 2WD
1992,Dodge,Caravan C/V/Grand Caravan,Caravan C/V/Grand Caravan 4WD
1992,Dodge,Caravan/Grand Caravan,Caravan/Grand Caravan 2WD
1992,Dodge,Caravan/Grand Caravan,Caravan/Grand Caravan 4WD
1992,Dodge,Colt,Colt
1992,Dodge,D100/D150 Pickup,D100/D150 Pickup 2WD
1992,Dodge,D250 Cab Chassis,D250 Cab Chassis 2WD
1992,Dodge,D250 Pickup,D250 Pickup 2WD
1992,Dodge,Dakota Cab Chassis,Dakota Cab Chassis 2WD
1992,Dodge,Dakota Pickup,Dakota Pickup 2WD
1992,Dodge,Dakota Pickup,Dakota Pickup 4WD
1992,Dodge,Daytona,Daytona
1992,Dodge,Dynasty,Dynasty
1992,Dodge,Monaco,Monaco
1992,Dodge,Power Ram 50 Pickup,Power Ram 50 4WD
1992,Dodge,Ram 50 Pickup,Ram 50 Pickup 2WD
1992,Dodge,Ramcharger,Ramcharger 2WD
1992,Dodge,Ramcharger,Ramcharger 4WD
1992,Dodge,Shadow,Shadow
1992,Dodge,Shadow,Shadow Convertible
1992,Dodge,Spirit,Spirit
1992,Dodge,Stealth,Stealth
1992,Dodge,Viper,Viper
1992,Dodge,W100/W150 Pickup,W100/W150 Pickup 4WD
1992,Dodge,W250 Pickup,W250 Pickup 4WD
1992,Eagle,Premier,Premier
1992,Eagle,Summit,Summit
1992,Eagle,Summit,Summit Wagon
1992,Eagle,Talon,Talon
1992,Ferrari,348 TB/TS,348 TB/TS
1992,Ferrari,F40,F40
1992,Ferrari,Mondial T/Cabriolet,Mondial T/Cabriolet
1992,Ferrari,Testarossa,Testarossa
1992,Ford,Aerostar Van,Aerostar Van
1992,Ford,Aerostar Van,Aerostar Van AWD
1992,Ford,Aerostar Wagon,Aerostar Wagon
1992,Ford,Aerostar Wagon,Aerostar Wagon AWD
1992,Ford,Bronco,Bronco 4WD
1992,Ford,E150 Club Wagon,E150 Club Wagon
1992,Ford,E150 Econoline,E150 Econoline 2WD
1992,Ford,E250 Econoline,E250 Econoline 2WD
1992,Ford,Escort,Escort
1992,Ford,Escort,Escort FS
1992,Ford,Escort,Escort Wagon
1992,Ford,Explorer,Explorer 2WD
1992,Ford,Explorer,Explorer 4WD
1992,Ford,F150,F150 Pickup 2WD
1992,Ford,F150,F150 Pickup 4WD
1992,Ford,F250,F250 Pickup 2WD
1992,Ford,Festiva,Festiva
1992,Ford,LTD Crown Victoria,LTD Crown Victoria
1992,Ford,Mustang,Mustang
1992,Ford,Probe,Probe
1992,Ford,Ranger,Ranger Pickup 2WD
1992,Ford,Ranger,Ranger Pickup 4WD
1992,Ford,Taurus,Taurus
1992,Ford,Taurus,Taurus SHO
1992,Ford,Taurus,Taurus Wagon
1992,Ford,Tempo,Tempo
1992,Ford,Tempo,Tempo FS
1992,Ford,Thunderbird,Thunderbird
1992,Geo,Metro,Metro
1992,Geo,Metro,Metro LSI
1992,Geo,Metro,Metro LSI Convertible
1992,Geo,Metro,Metro XFI
1992,Geo,Prizm,Prizm
1992,Geo,Storm,Storm
1992,Geo,Tracker,Tracker Convertible 2WD
1992,Geo,Tracker,Tracker Convertible 4WD
1992,Geo,Tracker,Tracker Van 4WD
1992,GMC,C2500 Sierra,C2500 Sierra 2WD
1992,GMC,Jimmy,Jimmy 2WD
1992,GMC,Jimmy,Jimmy 4WD
1992,GMC,K2500 Sierra,K2500 Sierra 4WD
1992,GMC,Rally,G15/25 Rally 2WD
1992,GMC,Rally,G35 Rally 2WD
1992,GMC,Safari,Safari 2WD (cargo)
1992,GMC,Safari,Safari 2WD (passenger)
1992,GMC,Safari,Safari AWD (cargo)
1992,GMC,Safari,Safari AWD (passenger)
1992,GMC,Sierra,Sierra 1500 2WD
1992,GMC,Sierra,Sierra 1500 4WD
1992,GMC,Sonoma,Sonoma 2WD
1992,GMC,Sonoma,Sonoma 4WD
1992,GMC,Suburban,Suburban 1500 2WD
1992,GMC,Suburban,Suburban 1500 4WD
1992,GMC,Vandura,G15/25 Vandura 2WD
1992,GMC,Vandura,G35 Vandura 2WD
1992,GMC,Yukon,Yukon 1500 4WD
1992,Honda,Accord,Accord
1992,Honda,Accord,Accord Wagon
1992,Honda,Civic,Civic
1992,Honda,Civic,Civic HB VX
1992,Honda,Prelude,Prelude
1992,Hyundai,Excel,Excel
1992,Hyundai,J-Car/Elantra,J-Car/Elantra
1992,Hyundai,Scoupe,Scoupe
1992,Hyundai,Sonata,Sonata
1992,Import Trade Services,BMW 325i,BMW 325i
1992,Import Trade Services,BMW 325I,BMW 325I
1992,Import Trade Services,MB 300SL,MB 300SL
1992,Infiniti,G20,G20
1992,Infiniti,M30,M30
1992,Infiniti,Q45,Q45
1992,Infiniti,Q45,Q45 Full-Active Suspension
1992,Isis Imports Ltd,Morgan Plus 8,Morgan Plus 8
1992,Isuzu,Amigo,Amigo 2WD
1992,Isuzu,Amigo,Amigo 4WD
1992,Isuzu,Impulse,Impulse
1992,Isuzu,Pickup,Pickup 2WD
1992,Isuzu,Pickup,Pickup 2WD 1-Ton
1992,Isuzu,Pickup,Pickup 4WD
1992,Isuzu,Rodeo,Rodeo 2WD
1992,Isuzu,Rodeo,Rodeo 4WD
1992,Isuzu,Stylus,Stylus
1992,Isuzu,Trooper,Trooper
1992,J.K. Motors,300CE MERC BENZ,300CE MERC BENZ
1992,J.K. Motors,300E MERC BENZ,300E MERC BENZ
1992,J.K. Motors,300SL,300SL
1992,J.K. Motors,300SL MERC BENZ,300SL MERC BENZ
1992,J.K. Motors,300TE MERC BENZ,300TE MERC BENZ
1992,J.K. Motors,BMW535I,BMW535I
1992,J.K. Motors,BMW635CSI,BMW635CSI
1992,J.K. Motors,BMW635L6,BMW635L6
1992,J.K. Motors,BMW735I,BMW735I
1992,J.K. Motors,BMW735IL,BMW735IL
1992,J.K. Motors,MERC BENZ 300CE,MERC BENZ 300CE
1992,J.K. Motors,MERC BENZ 300E,MERC BENZ 300E
1992,J.K. Motors,MERC BENZ 300SE,MERC BENZ 300SE
1992,J.K. Motors,MERC BENZ 300SEL,MERC BENZ 300SEL
1992,J.K. Motors,MERC BENZ 300TE,MERC BENZ 300TE
1992,J.K. Motors,MERC.BENZ.300SE,MERC.BENZ.300SE
1992,J.K. Motors,Testarossa,Testarossa
1992,Jaguar,XJ,XJ6
1992,Jaguar,XJS,XJS Convertible
1992,Jaguar,XJS,XJS Coupe
1992,Jeep,Cherokee,Cherokee 2WD
1992,Jeep,Cherokee,Cherokee 4WD
1992,Jeep,Comanche Pickup,Comanche Pickup 2WD
1992,Jeep,Comanche Pickup,Comanche Pickup 4WD
1992,Jeep,Wrangler,Wrangler 4WD
1992,Lamborghini,Diablo,DB132/Diablo
1992,Land Rover,Range Rover,Range Rover
1992,Lexus,ES,ES 300
1992,Lexus,LS,LS 400
1992,Lexus,SC,SC 300/SC 400
1992,Lincoln,Continental,Continental
1992,Lincoln,Mark VII,Mark VII
1992,Lincoln,Town Car,Town Car
1992,Lotus,Elan,Elan
1992,Lotus,Esprit,Esprit Turbo
1992,Mazda,323,323
1992,Mazda,626/MX-6,626/MX-6
1992,Mazda,929,929
1992,Mazda,B Pickup,B2200/B2600i
1992,Mazda,B Pickup,B2600i 4x4
1992,Mazda,MPV,MPV
1992,Mazda,MPV,MPV 4x4
1992,Mazda,MX-3,MX-3
1992,Mazda,MX-5 Miata,MX-5 Miata
1992,Mazda,Navajo,Navajo
1992,Mazda,Navajo,Navajo 4x4
1992,Mazda,Protege,Protege
1992,Mazda,RX-7,RX-7
1992,Mercedes-Benz,190,190E 2.3
1992,Mercedes-Benz,190,190E 2.6
1992,Mercedes-Benz,300,300CE
1992,Mercedes-Benz,300,300D 2.5 Turbo
1992,Mercedes-Benz,300,300E
1992,Mercedes-Benz,300,300E 2.6
