year,make,model,trim
1993,Acura,Integra,Integra
1993,Acura,Legend,Legend
1993,Acura,NSX,NSX
1993,Acura,Vigor,Vigor
1993,Alfa Romeo,164,164
1993,Alfa Romeo,Spider,Spider
1993,Aston Martin,Virage/Volante,Virage/Volante
1993,Audi,100,100
1993,Audi,100,100 quattro
1993,Audi,100,100 quattro Wagon
1993,Audi,80/90,90
1993,Audi,80/90,90 quattro
1993,Audi,S4,S4
1993,Audi,V8,V8
1993,Autokraft Limited,A.C.MARK IV,A.C.MARK IV
1993,BMW,3 Series,318i/318is
1993,BMW,3 Series,325i Convertible
1993,BMW,3 Series,325i/325is
1993,BMW,5 Series,525i
1993,BMW,5 Series,525i Touring
1993,BMW,5 Series,535i
1993,BMW,7 Series,740i
1993,BMW,7 Series,740il
1993,BMW,7 Series,750il
1993,BMW,8 Series,850ci
1993,BMW,M,M5
1993,Buick,Century,Century
1993,Buick,Century Wagon,Century Wagon
1993,Buick,Coachbuilder Wagon,Coachbuilder Wagon
1993,Buick,LeSabre,LeSabre
1993,Buick,Park Avenue,Park Avenue
1993,Buick,Regal,Regal
1993,Buick,Riviera,Riviera
1993,Buick,Roadmaster,Roadmaster
1993,Buick,Roadmaster,Roadmaster Wagon
1993,Buick,Skylark,Skylark
1993,Cadillac,Allante,Allante
1993,Cadillac,Commercial Chassis,Commercial Chassis
1993,Cadillac,DeVille/60 Special,DeVille/60 Special
1993,Cadillac,Eldorado,Eldorado
1993,Cadillac,Fleetwood,Fleetwood
1993,Cadillac,Seville,Seville
1993,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1993,Chevrolet,Astro Cargo,Astro AWD (cargo)
1993,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1993,Chevrolet,Astro Passenger,Astro AWD (passenger)
1993,Chevrolet,Beretta,Beretta
1993,Chevrolet,Blazer,Blazer 1500 4WD
1993,Chevrolet,Blazer,S10 Blazer 2WD
1993,Chevrolet,Blazer,S10 Blazer 4WD
1993,Chevrolet,C1500 Pickup,C1500 Pickup 2WD
1993,Chevrolet,C2500 Pickup,C2500 Pickup 2WD
1993,Chevrolet,Camaro,Camaro
1993,Chevrolet,Caprice,Caprice
1993,Chevrolet,Caprice,Caprice Wagon
1993,Chevrolet,Cavalier,Cavalier
1993,Chevrolet,Cavalier,Cavalier Wagon
1993,Chevrolet,Coachbuilder Wagon,Coachbuilder Wagon
1993,Chevrolet,Corsica,Corsica
1993,Chevrolet,Corvette,Corvette
1993,Chevrolet,G10/20 Van,G10/20 Sport Van 2WD
1993,Chevrolet,G10/20 Van,G10/20 Van 2WD
1993,Chevrolet,G30 Van,G30 Van 2WD
1993,Chevrolet,K1500 Pickup,K1500 Pickup 4WD
1993,Chevrolet,K2500 Pickup,K2500 Pickup 4WD
1993,Chevrolet,Lumina,Lumina
1993,Chevrolet,Lumina/APV Minivan,Lumina/APV Minivan 2WD
1993,Chevrolet,Pickup 2500,Pickup 2500 2WD
1993,Chevrolet,Pickup 2500,Pickup 2500 4WD
1993,Chevrolet,Postal Cab Chassis,Postal Cab Chassis 2WD
1993,Chevrolet,S10 Pickup,S10 Pickup 2WD
1993,Chevrolet,S10 Pickup,S10 Pickup 4WD
1993,Chevrolet,Sport Van,Sport Van G10/20 2WD
1993,Chevrolet,Sport Van,Sport Van G30 2WD
1993,Chevrolet,Sprint,Sprint
1993,Chevrolet,Suburban,Suburban 1500 2WD
1993,Chevrolet,Suburban,Suburban 1500 4WD
1993,Chrysler,Concorde,Concorde
1993,Chrysler,Fifth Avenue/Imperial,Fifth Avenue/Imperial
1993,Chrysler,LeBaron,LeBaron
1993,Chrysler,LeBaron,LeBaron Convertible
1993,Chrysler,New Yorker,New Yorker
1993,Chrysler,Town and Country,Town and Country 2WD
1993,Chrysler,Town and Country,Town and Country 4WD
1993,CX Automotive,XM,XM v6
1993,CX Automotive,XM,XM v6 Break
1993,CX Automotive,XM,XM v6a
1993,Dodge,B150/B250 Van,B150/B250 Van 2WD
1993,Dodge,B150/B250 Wagon,B150/B250 Wagon 2WD
1993,Dodge,B350 Van,B350 Van 2WD
1993,Dodge,B350 Wagon,B350 Wagon 2WD
1993,Dodge,Caravan C/V/Grand Caravan,Caravan C/V/Grand Caravan 2WD
1993,Dodge,Caravan/Grand Caravan,Caravan/Grand Caravan 2WD
1993,Dodge,Caravan/Grand Caravan,Caravan/Grand Caravan 4WD
1993,Dodge,Colt,Colt
1993,Dodge,D100/D150 Pickup,D100/D150 Pickup 2WD
1993,Dodge,D250 Cab Chassis,D250 Cab Chassis 2WD
1993,Dodge,D250 Pickup,D250 Pickup 2WD
1993,Dodge,Dakota Cab Chassis,Dakota Cab Chassis 2WD
1993,Dodge,Dakota Pickup,Dakota Pickup 2WD
1993,Dodge,Dakota Pickup,Dakota Pickup 4WD
1993,Dodge,Daytona,Daytona
1993,Dodge,Dynasty,Dynasty
1993,Dodge,Intrepid,Intrepid
1993,Dodge,Power Ram 50 Pickup,Power Ram 50 4WD
1993,Dodge,Ram 50 Pickup,Ram 50 Pickup 2WD
1993,Dodge,Ramcharger,Ramcharger 2WD
1993,Dodge,Ramcharger,Ramcharger 4WD
1993,Dodge,Shadow,Shadow
1993,Dodge,Shadow,Shadow Convertible
1993,Dodge,Spirit,Spirit
1993,Dodge,Stealth,Stealth
1993,Dodge,Viper,Viper
1993,Dodge,W100/W150 Pickup,W100/W150 Pickup 4WD
1993,Dodge,W250 Pickup,W250 Pickup 4WD
1993,Eagle,Summit,Summit
1993,Eagle,Summit,Summit Wagon
1993,Eagle,Talon,Talon
1993,Eagle,Vision,Vision
1993,Ferrari,348 TB/TS,348 TB/TS
1993,Ferrari,Ferrari 348 TB/TS,Ferrari 348 TB/TS
1993,Ferrari,Ferrari 512 TR,Ferrari 512 TR
1993,Ferrari,Ferrari Mondial T/Cabriolet,Ferrari Mondial T/Cabriolet
