year,make,model,trim
1990,Acura,Integra,Integra
1990,Acura,Legend,Legend
1990,Alfa Romeo,Spider,Spider
1990,Audi,100,100
1990,Audi,100,100 quattro
1990,Audi,200,200
1990,Audi,200,200 quattro
1990,Audi,200,200 quattro Wagon
1990,Audi,80/90,80
1990,Audi,80/90,80 quattro
1990,Audi,80/90,90
1990,Audi,80/90,90 quattro 20v
1990,Audi,Coupe quattro,Coupe quattro
1990,Audi,V8,V8
1990,BMW,3 Series,325i Convertible
1990,BMW,3 Series,325i/325is
1990,BMW,3 Series,325ix
1990,BMW,5 Series,525i
1990,BMW,5 Series,535i
1990,BMW,7 Series,735i
1990,BMW,7 Series,735il
1990,BMW,7 Series,750il
1990,BMW,M,M3
1990,Buick,Century,Century
1990,Buick,Century Wagon,Century Wagon
1990,Buick,Coachbuilder Wagon,Coachbuilder Wagon
1990,Buick,Electra/Park Avenue,Electra/Park Avenue
1990,Buick,Estate Wagon,Estate Wagon
1990,Buick,LeSabre,LeSabre
1990,Buick,Reatta,Reatta
1990,Buick,Regal,Regal
1990,Buick,Riviera,Riviera
1990,Buick,Skylark,Skylark
1990,Cadillac,Allante,Allante
1990,Cadillac,Brougham,Brougham
1990,Cadillac,Commercial Chassis,Commercial Chassis
1990,Cadillac,Eldorado,Eldorado
1990,Cadillac,Fleetwood/DeVille,Fleetwood/DeVille
1990,Cadillac,Seville,Seville
1990,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1990,Chevrolet,Astro Cargo,Astro AWD (cargo)
1990,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1990,Chevrolet,Astro Passenger,Astro AWD (passenger)
1990,Chevrolet,Beretta,Beretta
1990,Chevrolet,Blazer,Blazer V1500 4WD
1990,Chevrolet,Blazer,S10 Blazer 2WD
1990,Chevrolet,Blazer,S10 Blazer 4WD
1990,Chevrolet,C1500 Pickup,C1500 Pickup 2WD
1990,Chevrolet,C2500 Pickup,C2500 Pickup 2WD
1990,Chevrolet,Camaro,Camaro
1990,Chevrolet,Caprice,Caprice
1990,Chevrolet,Caprice,Caprice Wagon
1990,Chevrolet,Cavalier,Cavalier
1990,Chevrolet,Cavalier,Cavalier Wagon
1990,Chevrolet,Celebrity,Celebrity Wagon
1990,Chevrolet,Corsica,Corsica
1990,Chevrolet,Corvette,Corvette
1990,Chevrolet,Corvette,Twin-Turbo Corvette
1990,Chevrolet,G10/20 Van,G10/20 Sport Van 2WD
1990,Chevrolet,G10/20 Van,G10/20 Van 2WD
1990,Chevrolet,G30 Van,G30 Van 2WD
1990,Chevrolet,K1500 Pickup,K1500 Pickup 4WD
1990,Chevrolet,K2500 Pickup,K2500 Pickup 4WD
1990,Chevrolet,Lumina,Lumina
1990,Chevrolet,Lumina/APV Minivan,Lumina/APV Minivan 2WD
1990,Chevrolet,S10 Cab Chassis,S10 Cab Chassis 2WD
