year,make,model,trim
2025,Acura,ADX,ADX AWD
2025,Acura,ADX,ADX FWD
2025,Acura,Integra,Integra
2025,Acura,Integra,Integra A-Spec
2025,Acura,MDX,MDX AWD
2025,Acura,MDX,MDX AWD Type-S
2025,Acura,MDX,MDX FWD
2025,Acura,RDX,RDX AWD
2025,Acura,RDX,RDX AWD A-SPEC
2025,Acura,TLX,TLX AWD A-SPEC
2025,Acura,TLX,TLX FWD
2025,Acura,TLX,TLX Type-S
2025,Alfa Romeo,Giulia,Giulia
2025,Alfa Romeo,Giulia,Giulia AWD
2025,Alfa Romeo,Stelvio,Stelvio AWD
2025,Alfa Romeo,Tonale,Tonale AWD
2025,Alfa Romeo,Tonale eAWD,Tonale eAWD
2025,Aston Martin,DB12 V8,DB12 V8
2025,Aston Martin,DBX 707,DBX 707
2025,Aston Martin,Vanquish,Vanquish
2025,Aston Martin,Vantage,Vantage
2025,Audi,A3,A3 quattro
2025,Audi,A4,A4 allroad quattro
2025,Audi,A4,A4 quattro
2025,Audi,A4,A4 S line quattro
2025,Audi,A5,A5 quattro
2025,Audi,A5,A5 Sportback quattro
2025,Audi,A5,A5 Sportback S line quattro
2025,Audi,A6,A6 Allroad quattro
2025,Audi,A6,A6 quattro
2025,Audi,A7,A7 quattro
2025,Audi,A8,A8 quattro
2025,Audi,Q3,Q3
2025,Audi,Q3,Q3 S-Line quattro
2025,Audi,Q4 e-tron,Q4 45 e-tron
2025,Audi,Q4 e-tron,Q4 55 e-tron quattro
2025,Audi,Q4 e-tron,Q4 Sportback 55 e-tron quattro
2025,Audi,Q5,Q5 Plug-In Hybrid quattro
2025,Audi,Q5,Q5 quattro
2025,Audi,Q5,Q5 S line quattro
2025,Audi,Q5,Q5 Sportback S line quattro
2025,Audi,Q5,Q5 Sportback TFSI quattro
2025,Audi,Q5,Q5 TFSI quattro
2025,Audi,Q6 e-tron,Q6 e-tron (19 inch wheels)
2025,Audi,Q6 e-tron,Q6 e-tron (20 inch wheels)
2025,Audi,Q6 e-tron,Q6 e-tron quattro (19 inch wheels)
2025,Audi,Q6 e-tron,Q6 e-tron quattro (20 inch wheels)
2025,Audi,Q6 e-tron,Q6 e-tron ultra
2025,Audi,Q6 e-tron,Q6 Sportback e-tron quattro (19 inch wheels)
2025,Audi,Q6 e-tron,Q6 Sportback e-tron quattro (20 inch wheels)
2025,Audi,Q7,Q7
2025,Audi,Q8,Q8 quattro
2025,Audi,Q8 e-tron,Q8 e-tron quattro (20 inch wheels)
2025,Audi,Q8 e-tron,Q8 e-tron quattro (21 inch wheels)
2025,Audi,Q8 e-tron,Q8 Sportback e-tron quattro (20 inch wheels)
2025,Audi,Q8 e-tron,Q8 Sportback e-tron quattro (21 inch wheels)
2025,Audi,RS,RS 3
2025,Audi,RS,RS 5 Sportback
2025,Audi,RS,RS 6 Avant
2025,Audi,RS,RS 7
2025,Audi,RS e-tron,RS e-tron GT Performance
2025,Audi,RS Q8,RS Q8 Performance
2025,Audi,S e-tron,S e-tron GT (20 inch wheels)
2025,Audi,S e-tron,S e-tron GT (21 inch wheels)
2025,Audi,S3,S3
2025,Audi,S4,S4
2025,Audi,S5,S5
2025,Audi,S5,S5 Sportback
2025,Audi,S6,S6
2025,Audi,S7,S7
2025,Audi,S8,S8
2025,Audi,SQ5,SQ5
2025,Audi,SQ5,SQ5 Sportback
2025,Audi,SQ6 e-tron,SQ6 e-tron
2025,Audi,SQ6 e-tron,SQ6 Sportback e-tron
2025,Audi,SQ7,SQ7
2025,Audi,SQ8,SQ8
2025,Audi,SQ8 e-tron,SQ8 e-tron (20 inch wheels)
2025,Audi,SQ8 e-tron,SQ8 e-tron (21/22 inch wheels)
2025,Audi,SQ8 e-tron,SQ8 Sportback e-tron (20 inch wheels)
2025,Audi,SQ8 e-tron,SQ8 Sportback e-tron (21/22 inch wheels)
2025,Bentley,Bentayga,Bentayga
2025,Bentley,Bentayga,Bentayga EWB
2025,Bentley,Bentayga,Bentayga Hybrid
2025,Bentley,Continental,Continental GT
2025,Bentley,Continental,Continental GT Speed
2025,Bentley,Continental,Continental GTC
2025,Bentley,Continental,Continental GTC Speed
2025,Bentley,Flying Spur,Flying Spur
2025,Bentley,Flying Spur,Flying Spur Speed
2025,BMW,2 Series,228 xDrive Gran Coupe
2025,BMW,2 Series,230i Coupe
2025,BMW,2 Series,230i xDrive Coupe
2025,BMW,2 Series,M235 xDrive Gran Coupe
2025,BMW,2 Series,M240i Coupe
2025,BMW,2 Series,M240i xDrive Coupe
2025,BMW,3 Series,330i Sedan
2025,BMW,3 Series,330i xDrive Sedan
2025,BMW,3 Series,M340i Sedan
2025,BMW,3 Series,M340i xDrive Sedan
2025,BMW,4 Series,430i Convertible
2025,BMW,4 Series,430i Coupe
2025,BMW,4 Series,430i Gran Coupe
2025,BMW,4 Series,430i xDrive Convertible
2025,BMW,4 Series,430i xDrive Coupe
2025,BMW,4 Series,430i xDrive Gran Coupe
2025,BMW,4 Series,M440i Convertible
2025,BMW,4 Series,M440i Coupe
2025,BMW,4 Series,M440i Gran Coupe
2025,BMW,4 Series,M440i xDrive Convertible
2025,BMW,4 Series,M440i xDrive Coupe
2025,BMW,4 Series,M440i xDrive Gran Coupe
2025,BMW,5 Series,530i Sedan
2025,BMW,5 Series,530i xDrive Sedan
2025,BMW,5 Series,540i xDrive Sedan
2025,BMW,5 Series,550e xDrive Sedan
2025,BMW,7 Series,740i Sedan
2025,BMW,7 Series,740i xDrive Sedan
2025,BMW,7 Series,750e xDrive Sedan
2025,BMW,7 Series,760i xDrive Sedan
2025,BMW,8 Series,840i Convertible
2025,BMW,8 Series,840i Coupe
2025,BMW,8 Series,840i Gran Coupe
2025,BMW,8 Series,840i xDrive Convertible
2025,BMW,8 Series,840i xDrive Coupe
2025,BMW,8 Series,840i xDrive Gran Coupe
2025,BMW,8 Series,Alpina B8 Gran Coupe
2025,BMW,8 Series,M850i xDrive Convertible
2025,BMW,8 Series,M850i xDrive Coupe
2025,BMW,8 Series,M850i xDrive Gran Coupe
2025,BMW,i4,i4 eDrive35 Gran Coupe (18 inch Wheels)
2025,BMW,i4,i4 eDrive35 Gran Coupe (19 inch Wheels)
2025,BMW,i4,i4 eDrive40 Gran Coupe (18 inch wheels)
2025,BMW,i4,i4 eDrive40 Gran Coupe (19 inch Wheels)
2025,BMW,i4,i4 M50 Gran Coupe (19 inch wheels)
2025,BMW,i4,i4 M50 Gran Coupe (20 inch wheels)
2025,BMW,i4,i4 xDrive40 Gran Coupe (18 inch Wheels)
2025,BMW,i4,i4 xDrive40 Gran Coupe (19 inch Wheels)
2025,BMW,i5,i5 eDrive40 Sedan (19 inch Wheels)
2025,BMW,i5,i5 eDrive40 Sedan (20 inch Wheels)
2025,BMW,i5,i5 eDrive40 Sedan (21 inch Wheels)
2025,BMW,i5,i5 M60 xDrive Sedan (19 inch Wheels)
2025,BMW,i5,i5 M60 xDrive Sedan (20 inch Wheels)
2025,BMW,i5,i5 M60 xDrive Sedan (21 inch Wheels)
2025,BMW,i5,i5 xDrive40 Sedan (19 inch Wheels)
2025,BMW,i5,i5 xDrive40 Sedan (20 inch Wheels)
2025,BMW,i5,i5 xDrive40 Sedan (21 inch Wheels)
2025,BMW,i7,i7 eDrive50 Sedan (19 inch Wheels)
2025,BMW,i7,i7 eDrive50 Sedan (20 inch Wheels)
2025,BMW,i7,i7 eDrive50 Sedan (21 inch Wheels)
2025,BMW,i7,i7 M70 xDrive Sedan (20 inch Wheels)
2025,BMW,i7,i7 M70 xDrive Sedan (21 inch Wheels)
2025,BMW,i7,i7 xDrive60 Sedan (19 inch wheels)
2025,BMW,i7,i7 xDrive60 Sedan (20 inch wheels)
2025,BMW,i7,i7 xDrive60 Sedan (21inch wheels)
2025,BMW,iX,iX M60 (21 inch Wheels)
2025,BMW,iX,iX M60 (22 inch Wheels)
2025,BMW,iX,iX xDrive40 (20 inch Wheels)
2025,BMW,iX,iX xDrive40 (21 inch Wheels)
2025,BMW,iX,iX xDrive40 (22 inch Wheels)
2025,BMW,iX,iX xDrive50 (20 inch wheels)
2025,BMW,iX,iX xDrive50 (21 inch wheels)
2025,BMW,iX,iX xDrive50 (22 inch wheels)
2025,BMW,M,M2 Coupe
2025,BMW,M,M3 Competition M xDrive Sedan
2025,BMW,M,M3 Competition Sedan
2025,BMW,M,M3 Sedan
2025,BMW,M,M4 Competition Coupe
2025,BMW,M,M4 Competition M xDrive Convertible
2025,BMW,M,M4 Competition M xDrive Coupe
2025,BMW,M,M4 Coupe
2025,BMW,M,M4 CS Coupe
2025,BMW,M,M5 Sedan
2025,BMW,M,M5 Touring
2025,BMW,M,M8 Competition Convertible
2025,BMW,M,M8 Competition Coupe
2025,BMW,M,M8 Competition Gran Coupe
2025,BMW,X1,X1 M35i
2025,BMW,X1,X1 xDrive28i
2025,BMW,X2,X2 M35i
2025,BMW,X2,X2 xDrive28i
2025,BMW,X3,X3 M50i xDrive
2025,BMW,X3,X3 xDrive30i
2025,BMW,X4,X4 M
2025,BMW,X4,X4 M Competition
2025,BMW,X4,X4 M40i
2025,BMW,X4,X4 xDrive30i
2025,BMW,X5,X5 M Competition
2025,BMW,X5,X5 M60i xDrive
2025,BMW,X5,X5 sDrive40i
2025,BMW,X5,X5 xDrive40i
2025,BMW,X5,X5 xDrive50e
