year,make,model,trim
1998,Acura,CL,2.3CL/3.0CL
1998,Acura,Integra,Integra
1998,Acura,NSX,NSX
1998,Acura,RL,3.5RL
1998,Acura,SLX,SLX
1998,Acura,TL,2.5TL/3.2TL
1998,Aston Martin,DB7,DB7 Coupe
1998,Aston Martin,DB7,DB7 Volante
1998,Audi,A4,A4
1998,Audi,A4,A4 Avant
1998,Audi,A4,A4 Avant quattro
1998,Audi,A4,A4 quattro
1998,Audi,A6,A6
1998,Audi,A6,A6 quattro
1998,Audi,A6,A6 Wagon quattro
1998,Audi,A8,A8
1998,Audi,Cabriolet,Cabriolet
1998,Bentley,Azure,Azure
1998,Bentley,Brooklands,Brooklands R
1998,Bentley,Brooklands,Brooklands R Limo
1998,Bentley,Continental,Continental R
1998,Bentley,Continental,Continental SC
1998,Bentley,Continental,Continental T
1998,Bentley,Turbo RT,Turbo RT
1998,BMW,3 Series,318i/318is
1998,BMW,3 Series,318ti
1998,BMW,3 Series,323i Convertible
1998,BMW,3 Series,323is
1998,BMW,3 Series,328i Convertible
1998,BMW,3 Series,328i/328is
1998,BMW,5 Series,528i
1998,BMW,5 Series,540i
1998,BMW,7 Series,740i
1998,BMW,7 Series,740il
1998,BMW,7 Series,750il
1998,BMW,M,M Roadster
1998,BMW,M,M3
1998,BMW,M,M3 Convertible
1998,BMW,Z3,Z3 Roadster
1998,Buick,Century,Century
1998,Buick,LeSabre,LeSabre
1998,Buick,Park Avenue,Park Avenue
1998,Buick,Regal,Regal
1998,Buick,Riviera,Riviera
1998,Buick,Skylark,Skylark
1998,Cadillac,Catera,Catera
1998,Cadillac,DeVille,DeVille
1998,Cadillac,Eldorado,Eldorado
1998,Cadillac,Funeral Coach/Hearse,Funeral Coach/Hearse
1998,Cadillac,Limousine,Limousine
1998,Cadillac,Seville,Seville
1998,Chevrolet,Astro Cargo,Astro 2WD (cargo)
1998,Chevrolet,Astro Cargo,Astro AWD (cargo)
1998,Chevrolet,Astro Passenger,Astro 2WD (passenger)
1998,Chevrolet,Astro Passenger,Astro AWD (passenger)
1998,Chevrolet,Blazer,Blazer 2WD
1998,Chevrolet,Blazer,Blazer 4WD
1998,Chevrolet,Blazer,Blazer AWD
1998,Chevrolet,C1500 Pickup,C1500 Pickup 2WD
1998,Chevrolet,Camaro,Camaro
1998,Chevrolet,Cavalier,Cavalier
1998,Chevrolet,Corvette,Corvette
1998,Chevrolet,Express Passenger,Express 1500/2500 2WD
1998,Chevrolet,K1500 Pickup,K1500 Pickup 4WD
1998,Chevrolet,Lumina/Monte Carlo,Lumina/Monte Carlo
1998,Chevrolet,Malibu,Malibu
1998,Chevrolet,Metro,Metro
1998,Chevrolet,Pickup 2500,Pickup 2500 2WD
1998,Chevrolet,Prizm,Prizm
1998,Chevrolet,S10 Pickup,S10 Electric
1998,Chevrolet,S10 Pickup,S10 Pickup 2WD
1998,Chevrolet,S10 Pickup,S10 Pickup 4WD
1998,Chevrolet,Suburban,Suburban 1500 2WD
1998,Chevrolet,Tahoe,Tahoe 1500 2WD
1998,Chevrolet,Tahoe,Tahoe 1500 4WD
1998,Chevrolet,Tracker,Tracker 2WD Convertible
1998,Chevrolet,Tracker,Tracker 2WD Hardtop
1998,Chevrolet,Tracker,Tracker 4WD Convertible
1998,Chevrolet,Tracker,Tracker 4WD Hardtop
1998,Chevrolet,Van 1500/2500,Van 1500/2500 2WD
1998,Chevrolet,Venture,Venture FWD
1998,Chrysler,Cirrus,Cirrus
1998,Chrysler,Concorde,Concorde
1998,Chrysler,JX/JXI/Limited Convertible,JX/JXI/Limited Convertible
1998,Chrysler,Sebring,Sebring
1998,Chrysler,Town and Country,Town and Country 2WD
1998,Chrysler,Town and Country,Town and Country AWD
1998,Daewoo,Lanos,Lanos
1998,Daewoo,Leganza,Leganza
